label	subject	order	stake_bin	stim	observed	model	lo	hi	covered
log-affine-n1n2	1	Risky first	0	ips	0.55	0.6125	0.4	0.8	True
log-affine-n1n2	1	Risky first	0	vertex	0.6	0.5579999999999999	0.34875000000000006	0.8	True
log-affine-n1n2	1	Risky first	1	ips	0.6	0.5830000000000001	0.4	0.7512499999999989	True
log-affine-n1n2	1	Risky first	1	vertex	0.25	0.5038750000000001	0.3	0.7012499999999988	False
log-affine-n1n2	1	Risky first	2	ips	0.6	0.578875	0.35	0.8	True
log-affine-n1n2	1	Risky first	2	vertex	0.65	0.53925	0.3	0.75	True
log-affine-n1n2	1	Risky second	0	ips	0.7	0.591875	0.4	0.8	True
log-affine-n1n2	1	Risky second	0	vertex	0.4	0.5329999999999999	0.29875000000000007	0.8	True
log-affine-n1n2	1	Risky second	1	ips	0.65	0.6302500000000001	0.4487500000000001	0.8	True
log-affine-n1n2	1	Risky second	1	vertex	0.5789473684210527	0.5990789473684209	0.3684210526315789	0.8421052631578947	True
log-affine-n1n2	1	Risky second	2	ips	0.65	0.655	0.4	0.85	True
log-affine-n1n2	1	Risky second	2	vertex	0.7	0.6521250000000001	0.4	0.85	True
log-affine-n1n2	2	Risky first	0	ips	0.3157894736842105	0.3878947368421052	0.10526315789473684	0.631578947368421	True
log-affine-n1n2	2	Risky first	0	vertex	0.5	0.5919444444444444	0.3333333333333333	0.8333333333333334	True
log-affine-n1n2	2	Risky first	1	ips	0.5238095238095238	0.559047619047619	0.3333333333333333	0.7619047619047619	True
log-affine-n1n2	2	Risky first	1	vertex	0.7058823529411765	0.5633823529411764	0.35294117647058826	0.7647058823529411	True
log-affine-n1n2	2	Risky first	2	ips	0.65	0.645625	0.45	0.85	True
log-affine-n1n2	2	Risky first	2	vertex	0.6842105263157895	0.6982894736842106	0.47368421052631576	0.8947368421052632	True
log-affine-n1n2	2	Risky second	0	ips	0.95	0.7191250000000001	0.4987500000000001	0.9	False
log-affine-n1n2	2	Risky second	0	vertex	0.6190476190476191	0.6292857142857143	0.42857142857142855	0.8095238095238095	True
log-affine-n1n2	2	Risky second	1	ips	0.7	0.6755000000000001	0.45	0.85	True
log-affine-n1n2	2	Risky second	1	vertex	0.42105263157894735	0.5346052631578947	0.3684210526315789	0.7368421052631579	True
log-affine-n1n2	2	Risky second	2	ips	0.6	0.6509999999999999	0.45	0.85	True
log-affine-n1n2	2	Risky second	2	vertex	0.6666666666666666	0.6768055555555557	0.3888888888888889	0.8888888888888888	True
log-affine-n1n2	3	Risky first	0	ips	0.75	0.6399999999999999	0.4	0.85	True
log-affine-n1n2	3	Risky first	0	vertex	0.7	0.6613749999999999	0.45	0.85	True
log-affine-n1n2	3	Risky first	1	ips	0.5	0.624375	0.4487500000000001	0.8	True
log-affine-n1n2	3	Risky first	1	vertex	0.6	0.6285	0.45	0.85	True
log-affine-n1n2	3	Risky first	2	ips	0.7	0.6517500000000002	0.45	0.85	True
log-affine-n1n2	3	Risky first	2	vertex	0.7	0.6919999999999998	0.5	0.85	True
