label	subject	order	stake_bin	stim	observed	model	lo	hi	covered
log-affine-nullind.klw	1	Risky first	0	ips	0.55	0.576	0.35	0.8	True
log-affine-nullind.klw	1	Risky first	0	vertex	0.6	0.5725	0.35	0.75	True
log-affine-nullind.klw	1	Risky first	1	ips	0.6	0.569125	0.35	0.7512499999999989	True
log-affine-nullind.klw	1	Risky first	1	vertex	0.25	0.555625	0.35	0.8	False
log-affine-nullind.klw	1	Risky first	2	ips	0.6	0.5605	0.3	0.75	True
log-affine-nullind.klw	1	Risky first	2	vertex	0.65	0.557625	0.34875000000000006	0.7512499999999989	True
log-affine-nullind.klw	1	Risky second	0	ips	0.7	0.5676249999999999	0.35	0.8	True
log-affine-nullind.klw	1	Risky second	0	vertex	0.4	0.5720000000000001	0.35	0.8	True
log-affine-nullind.klw	1	Risky second	1	ips	0.65	0.60375	0.4	0.8	True
log-affine-nullind.klw	1	Risky second	1	vertex	0.5789473684210527	0.5931578947368421	0.4197368421052632	0.7894736842105263	True
log-affine-nullind.klw	1	Risky second	2	ips	0.65	0.624375	0.4	0.85	True
log-affine-nullind.klw	1	Risky second	2	vertex	0.7	0.623125	0.4	0.8	True
log-affine-nullind.klw	2	Risky first	0	ips	0.3157894736842105	0.47513157894736835	0.26184210526315793	0.6842105263157895	True
log-affine-nullind.klw	2	Risky first	0	vertex	0.5	0.5243055555555556	0.2777777777777778	0.7236111111111099	True
log-affine-nullind.klw	2	Risky first	1	ips	0.5238095238095238	0.5915476190476191	0.38095238095238093	0.8095238095238095	True
log-affine-nullind.klw	2	Risky first	1	vertex	0.7058823529411765	0.5385294117647059	0.35294117647058826	0.7647058823529411	True
log-affine-nullind.klw	2	Risky first	2	ips	0.65	0.6405	0.45	0.85	True
log-affine-nullind.klw	2	Risky first	2	vertex	0.6842105263157895	0.6628947368421052	0.47368421052631576	0.8421052631578947	True
log-affine-nullind.klw	2	Risky second	0	ips	0.95	0.611875	0.4	0.8	False
log-affine-nullind.klw	2	Risky second	0	vertex	0.6190476190476191	0.6458333333333333	0.42857142857142855	0.8571428571428571	True
log-affine-nullind.klw	2	Risky second	1	ips	0.7	0.6288750000000001	0.4	0.8	True
log-affine-nullind.klw	2	Risky second	1	vertex	0.42105263157894735	0.5421052631578946	0.36710526315789477	0.7368421052631579	True
log-affine-nullind.klw	2	Risky second	2	ips	0.6	0.616	0.4	0.8	True
log-affine-nullind.klw	2	Risky second	2	vertex	0.6666666666666666	0.6636111111111112	0.4444444444444444	0.8888888888888888	True
log-affine-nullind.klw	3	Risky first	0	ips	0.75	0.6405	0.45	0.8012499999999989	True
log-affine-nullind.klw	3	Risky first	0	vertex	0.7	0.63925	0.45	0.8012499999999989	True
log-affine-nullind.klw	3	Risky first	1	ips	0.5	0.6243750000000001	0.4	0.8	True
log-affine-nullind.klw	3	Risky first	1	vertex	0.6	0.623625	0.45	0.8	True
log-affine-nullind.klw	3	Risky first	2	ips	0.7	0.6513749999999999	0.45	0.8512499999999988	True
log-affine-nullind.klw	3	Risky first	2	vertex	0.7	0.6502500000000001	0.45	0.85	True
log-affine-nullind.klw	3	Risky second	0	ips	0.5	0.47924999999999995	0.25	0.7	True
log-affine-nullind.klw	3	Risky second	0	vertex	0.3	0.478125	0.25	0.7	True
log-affine-nullind.klw	3	Risky second	1	ips	0.65	0.596875	0.4	0.8	True
log-affine-nullind.klw	3	Risky second	1	vertex	0.55	0.5870000000000001	0.3987500000000001	0.75	True
log-affine-nullind.klw	3	Risky second	2	ips	0.75	0.6607500000000001	0.45	0.85	True
log-affine-nullind.klw	3	Risky second	2	vertex	0.7	0.6609999999999999	0.4	0.9	True
log-affine-nullind.klw	4	Risky first	0	ips	0.4	0.509875	0.3	0.75	True
