label	subject	order	stake_bin	stim	observed	model	lo	hi	covered
log-affine-perc.klw	1	Risky first	0	ips	0.55	0.6	0.4	0.8	True
log-affine-perc.klw	1	Risky first	0	vertex	0.6	0.5397500000000001	0.25	0.75	True
log-affine-perc.klw	1	Risky first	1	ips	0.6	0.574	0.4	0.75	True
log-affine-perc.klw	1	Risky first	1	vertex	0.25	0.52875	0.3	0.75	False
log-affine-perc.klw	1	Risky first	2	ips	0.6	0.546	0.3	0.75	True
log-affine-perc.klw	1	Risky first	2	vertex	0.65	0.539375	0.25	0.8	True
log-affine-perc.klw	1	Risky second	0	ips	0.7	0.5827500000000001	0.35	0.8	True
log-affine-perc.klw	1	Risky second	0	vertex	0.4	0.53275	0.3	0.75	True
log-affine-perc.klw	1	Risky second	1	ips	0.65	0.6164999999999999	0.45	0.8	True
log-affine-perc.klw	1	Risky second	1	vertex	0.5789473684210527	0.5657894736842105	0.3157894736842105	0.7894736842105263	True
log-affine-perc.klw	1	Risky second	2	ips	0.65	0.6471250000000001	0.4	0.85	True
log-affine-perc.klw	1	Risky second	2	vertex	0.7	0.6385	0.4	0.85	True
log-affine-perc.klw	2	Risky first	0	ips	0.3157894736842105	0.5435526315789474	0.3157894736842105	0.7381578947368409	True
log-affine-perc.klw	2	Risky first	0	vertex	0.5	0.5797222222222222	0.38750000000000007	0.7777777777777778	True
log-affine-perc.klw	2	Risky first	1	ips	0.5238095238095238	0.5785714285714285	0.38095238095238093	0.8095238095238095	True
log-affine-perc.klw	2	Risky first	1	vertex	0.7058823529411765	0.525	0.29411764705882354	0.7647058823529411	True
log-affine-perc.klw	2	Risky first	2	ips	0.65	0.5875	0.4	0.8012499999999989	True
log-affine-perc.klw	2	Risky first	2	vertex	0.6842105263157895	0.6226315789473683	0.3684210526315789	0.8421052631578947	True
log-affine-perc.klw	2	Risky second	0	ips	0.95	0.55425	0.35	0.75	False
log-affine-perc.klw	2	Risky second	0	vertex	0.6190476190476191	0.5839285714285714	0.38095238095238093	0.7619047619047619	True
log-affine-perc.klw	2	Risky second	1	ips	0.7	0.621375	0.4	0.8012499999999989	True
log-affine-perc.klw	2	Risky second	1	vertex	0.42105263157894735	0.549078947368421	0.3684210526315789	0.7368421052631579	True
log-affine-perc.klw	2	Risky second	2	ips	0.6	0.6589999999999999	0.4487500000000001	0.85	True
log-affine-perc.klw	2	Risky second	2	vertex	0.6666666666666666	0.7095833333333332	0.4444444444444444	0.9444444444444444	True
log-affine-perc.klw	3	Risky first	0	ips	0.75	0.646125	0.45	0.85	True
log-affine-perc.klw	3	Risky first	0	vertex	0.7	0.636875	0.45	0.85	True
log-affine-perc.klw	3	Risky first	1	ips	0.5	0.62975	0.4	0.8	True
log-affine-perc.klw	3	Risky first	1	vertex	0.6	0.627125	0.45	0.8	True
log-affine-perc.klw	3	Risky first	2	ips	0.7	0.620625	0.4	0.8	True
log-affine-perc.klw	3	Risky first	2	vertex	0.7	0.6638749999999999	0.4987500000000001	0.85	True
log-affine-perc.klw	3	Risky second	0	ips	0.5	0.485875	0.25	0.7	True
log-affine-perc.klw	3	Risky second	0	vertex	0.3	0.4675	0.25	0.6512499999999989	True
log-affine-perc.klw	3	Risky second	1	ips	0.65	0.5898749999999999	0.3987500000000001	0.8	True
log-affine-perc.klw	3	Risky second	1	vertex	0.55	0.58475	0.4	0.75	True
log-affine-perc.klw	3	Risky second	2	ips	0.75	0.6646249999999999	0.4	0.9	True
log-affine-perc.klw	3	Risky second	2	vertex	0.7	0.694875	0.5	0.9	True
log-affine-perc.klw	4	Risky first	0	ips	0.4	0.50125	0.3	0.75	True
log-affine-perc.klw	4	Risky first	0	vertex	0.6111111111111112	0.4872222222222223	0.2222222222222222	0.7236111111111099	True
log-affine-perc.klw	4	Risky first	1	ips	0.4	0.3858750000000001	0.2	0.55	True
log-affine-perc.klw	4	Risky first	1	vertex	0.3157894736842105	0.3843421052631578	0.15789473684210525	0.631578947368421	True
log-affine-perc.klw	4	Risky first	2	ips	0.1	0.25975000000000004	0.05	0.4512499999999989	True
log-affine-perc.klw	4	Risky first	2	vertex	0.2222222222222222	0.2925	0.1111111111111111	0.5013888888888877	True
log-affine-perc.klw	4	Risky second	0	ips	0.42857142857142855	0.5119047619047619	0.2857142857142857	0.7142857142857143	True
log-affine-perc.klw	4	Risky second	0	vertex	0.47368421052631576	0.5332894736842105	0.3157894736842105	0.7368421052631579	True
log-affine-perc.klw	4	Risky second	1	ips	0.631578947368421	0.5573684210526316	0.3157894736842105	0.7894736842105263	True
log-affine-perc.klw	4	Risky second	1	vertex	0.6	0.581375	0.35	0.8	True
