label	subject	order	stake_bin	stim	observed	model	lo	hi	covered
log-cspl3-percmem.pathfinder	1	Risky first	0	ips	0.55	0.597875	0.4	0.8	True
log-cspl3-percmem.pathfinder	1	Risky first	0	vertex	0.6	0.54375	0.3	0.8	True
log-cspl3-percmem.pathfinder	1	Risky first	1	ips	0.6	0.548375	0.35	0.75	True
log-cspl3-percmem.pathfinder	1	Risky first	1	vertex	0.25	0.46	0.25	0.7	True
log-cspl3-percmem.pathfinder	1	Risky first	2	ips	0.6	0.5565	0.3	0.8	True
log-cspl3-percmem.pathfinder	1	Risky first	2	vertex	0.65	0.575	0.3	0.8	True
log-cspl3-percmem.pathfinder	1	Risky second	0	ips	0.7	0.602	0.4	0.8	True
log-cspl3-percmem.pathfinder	1	Risky second	0	vertex	0.4	0.58	0.35	0.8	True
log-cspl3-percmem.pathfinder	1	Risky second	1	ips	0.65	0.626375	0.45	0.8	True
log-cspl3-percmem.pathfinder	1	Risky second	1	vertex	0.5789473684210527	0.5534210526315789	0.3157894736842105	0.7894736842105263	True
log-cspl3-percmem.pathfinder	1	Risky second	2	ips	0.65	0.668375	0.4487500000000001	0.8512499999999988	True
log-cspl3-percmem.pathfinder	1	Risky second	2	vertex	0.7	0.6735	0.45	0.85	True
log-cspl3-percmem.pathfinder	2	Risky first	0	ips	0.3157894736842105	0.5284210526315789	0.2631578947368421	0.7368421052631579	True
log-cspl3-percmem.pathfinder	2	Risky first	0	vertex	0.5	0.5648611111111111	0.3333333333333333	0.7777777777777778	True
log-cspl3-percmem.pathfinder	2	Risky first	1	ips	0.5238095238095238	0.5770238095238095	0.3797619047619048	0.7619047619047619	True
log-cspl3-percmem.pathfinder	2	Risky first	1	vertex	0.7058823529411765	0.4961764705882354	0.29411764705882354	0.7058823529411765	True
log-cspl3-percmem.pathfinder	2	Risky first	2	ips	0.65	0.578125	0.35	0.75	True
log-cspl3-percmem.pathfinder	2	Risky first	2	vertex	0.6842105263157895	0.6530263157894737	0.42105263157894735	0.8421052631578947	True
log-cspl3-percmem.pathfinder	2	Risky second	0	ips	0.95	0.5865	0.4	0.75	False
log-cspl3-percmem.pathfinder	2	Risky second	0	vertex	0.6190476190476191	0.6008333333333333	0.4273809523809524	0.8095238095238095	True
log-cspl3-percmem.pathfinder	2	Risky second	1	ips	0.7	0.672	0.5	0.85	True
log-cspl3-percmem.pathfinder	2	Risky second	1	vertex	0.42105263157894735	0.5511842105263158	0.3684210526315789	0.7368421052631579	True
log-cspl3-percmem.pathfinder	2	Risky second	2	ips	0.6	0.697375	0.5	0.9	True
log-cspl3-percmem.pathfinder	2	Risky second	2	vertex	0.6666666666666666	0.7519444444444444	0.5555555555555556	0.9444444444444444	True
log-cspl3-percmem.pathfinder	3	Risky first	0	ips	0.75	0.6673749999999999	0.45	0.85	True
log-cspl3-percmem.pathfinder	3	Risky first	0	vertex	0.7	0.638	0.45	0.85	True
log-cspl3-percmem.pathfinder	3	Risky first	1	ips	0.5	0.633625	0.4	0.8	True
log-cspl3-percmem.pathfinder	3	Risky first	1	vertex	0.6	0.628625	0.45	0.8	True
log-cspl3-percmem.pathfinder	3	Risky first	2	ips	0.7	0.637625	0.4	0.85	True
log-cspl3-percmem.pathfinder	3	Risky first	2	vertex	0.7	0.6857500000000001	0.5	0.85	True
