label	subject	order	stake_bin	stim	observed	model	lo	hi	covered
log-cspl3-percpmu.mapjitter.klw	1	Risky first	0	ips	0.55	0.6054999999999999	0.4	0.8	True
log-cspl3-percpmu.mapjitter.klw	1	Risky first	0	vertex	0.6	0.52625	0.3	0.75	True
log-cspl3-percpmu.mapjitter.klw	1	Risky first	1	ips	0.6	0.5536249999999999	0.34875000000000006	0.75	True
log-cspl3-percpmu.mapjitter.klw	1	Risky first	1	vertex	0.25	0.473	0.25	0.75	True
log-cspl3-percpmu.mapjitter.klw	1	Risky first	2	ips	0.6	0.5477500000000001	0.3	0.75	True
log-cspl3-percpmu.mapjitter.klw	1	Risky first	2	vertex	0.65	0.556875	0.35	0.8	True
log-cspl3-percpmu.mapjitter.klw	1	Risky second	0	ips	0.7	0.606625	0.4	0.8	True
log-cspl3-percpmu.mapjitter.klw	1	Risky second	0	vertex	0.4	0.5571250000000001	0.35	0.75	True
log-cspl3-percpmu.mapjitter.klw	1	Risky second	1	ips	0.65	0.6203750000000001	0.4	0.8	True
log-cspl3-percpmu.mapjitter.klw	1	Risky second	1	vertex	0.5789473684210527	0.5427631578947368	0.3157894736842105	0.7894736842105263	True
log-cspl3-percpmu.mapjitter.klw	1	Risky second	2	ips	0.65	0.6555	0.4487500000000001	0.85	True
log-cspl3-percpmu.mapjitter.klw	1	Risky second	2	vertex	0.7	0.6553749999999999	0.4	0.85	True
log-cspl3-percpmu.mapjitter.klw	2	Risky first	0	ips	0.3157894736842105	0.5272368421052631	0.31447368421052635	0.7368421052631579	True
log-cspl3-percpmu.mapjitter.klw	2	Risky first	0	vertex	0.5	0.5545833333333333	0.3333333333333333	0.7777777777777778	True
log-cspl3-percpmu.mapjitter.klw	2	Risky first	1	ips	0.5238095238095238	0.58	0.38095238095238093	0.7619047619047619	True
log-cspl3-percpmu.mapjitter.klw	2	Risky first	1	vertex	0.7058823529411765	0.514264705882353	0.29411764705882354	0.7058823529411765	True
log-cspl3-percpmu.mapjitter.klw	2	Risky first	2	ips	0.65	0.589125	0.35	0.7512499999999989	True
log-cspl3-percpmu.mapjitter.klw	2	Risky first	2	vertex	0.6842105263157895	0.6382894736842105	0.42105263157894735	0.8421052631578947	True
log-cspl3-percpmu.mapjitter.klw	2	Risky second	0	ips	0.95	0.55275	0.35	0.75	False
log-cspl3-percpmu.mapjitter.klw	2	Risky second	0	vertex	0.6190476190476191	0.5610714285714287	0.38095238095238093	0.7619047619047619	True
