label	subject	order	stake_bin	stim	observed	model	lo	hi	covered
log-genweber-nullind.klw	1	Risky first	0	ips	0.55	0.5720000000000001	0.35	0.8	True
log-genweber-nullind.klw	1	Risky first	0	vertex	0.6	0.569625	0.35	0.8	True
log-genweber-nullind.klw	1	Risky first	1	ips	0.6	0.5605	0.35	0.75	True
log-genweber-nullind.klw	1	Risky first	1	vertex	0.25	0.5526249999999999	0.35	0.75	False
log-genweber-nullind.klw	1	Risky first	2	ips	0.6	0.5509999999999999	0.3	0.7512499999999989	True
log-genweber-nullind.klw	1	Risky first	2	vertex	0.65	0.547	0.3	0.8	True
log-genweber-nullind.klw	1	Risky second	0	ips	0.7	0.572875	0.35	0.75	True
log-genweber-nullind.klw	1	Risky second	0	vertex	0.4	0.5828749999999999	0.35	0.8	True
log-genweber-nullind.klw	1	Risky second	1	ips	0.65	0.5884999999999999	0.4	0.8	True
log-genweber-nullind.klw	1	Risky second	1	vertex	0.5789473684210527	0.5757894736842105	0.3684210526315789	0.7894736842105263	True
log-genweber-nullind.klw	1	Risky second	2	ips	0.65	0.6317499999999999	0.4	0.85	True
log-genweber-nullind.klw	1	Risky second	2	vertex	0.7	0.63075	0.4	0.85	True
log-genweber-nullind.klw	2	Risky first	0	ips	0.3157894736842105	0.47526315789473683	0.2631578947368421	0.7368421052631579	True
log-genweber-nullind.klw	2	Risky first	0	vertex	0.5	0.53125	0.2777777777777778	0.7777777777777778	True
log-genweber-nullind.klw	2	Risky first	1	ips	0.5238095238095238	0.6009523809523809	0.42857142857142855	0.8095238095238095	True
log-genweber-nullind.klw	2	Risky first	1	vertex	0.7058823529411765	0.5413235294117648	0.35294117647058826	0.7058823529411765	True
log-genweber-nullind.klw	2	Risky first	2	ips	0.65	0.6417499999999999	0.45	0.85	True
log-genweber-nullind.klw	2	Risky first	2	vertex	0.6842105263157895	0.6717105263157894	0.47368421052631576	0.8947368421052632	True
log-genweber-nullind.klw	2	Risky second	0	ips	0.95	0.606375	0.4	0.8	False
log-genweber-nullind.klw	2	Risky second	0	vertex	0.6190476190476191	0.6397619047619048	0.42857142857142855	0.8571428571428571	True
log-genweber-nullind.klw	2	Risky second	1	ips	0.7	0.63	0.4487500000000001	0.8	True
log-genweber-nullind.klw	2	Risky second	1	vertex	0.42105263157894735	0.5463157894736842	0.3684210526315789	0.7368421052631579	True
log-genweber-nullind.klw	2	Risky second	2	ips	0.6	0.61925	0.4	0.8	True
log-genweber-nullind.klw	2	Risky second	2	vertex	0.6666666666666666	0.6645833333333334	0.4444444444444444	0.8888888888888888	True
log-genweber-nullind.klw	3	Risky first	0	ips	0.75	0.627	0.4	0.85	True
log-genweber-nullind.klw	3	Risky first	0	vertex	0.7	0.6296249999999999	0.45	0.85	True
log-genweber-nullind.klw	3	Risky first	1	ips	0.5	0.61725	0.4487500000000001	0.8	True
log-genweber-nullind.klw	3	Risky first	1	vertex	0.6	0.611625	0.4	0.8	True
log-genweber-nullind.klw	3	Risky first	2	ips	0.7	0.6417499999999999	0.45	0.85	True
log-genweber-nullind.klw	3	Risky first	2	vertex	0.7	0.64275	0.45	0.85	True
log-genweber-nullind.klw	3	Risky second	0	ips	0.5	0.498375	0.3	0.7	True
