label	subject	order	stake_bin	stim	observed	model	lo	hi	covered
log-power+weber-percmem.mapjitter.klw	1	Risky first	0	ips	0.55	0.5975	0.35	0.8	True
log-power+weber-percmem.mapjitter.klw	1	Risky first	0	vertex	0.6	0.541	0.34875000000000006	0.75	True
log-power+weber-percmem.mapjitter.klw	1	Risky first	1	ips	0.6	0.58625	0.35	0.8	True
log-power+weber-percmem.mapjitter.klw	1	Risky first	1	vertex	0.25	0.540875	0.35	0.75	False
log-power+weber-percmem.mapjitter.klw	1	Risky first	2	ips	0.6	0.559875	0.35	0.8	True
log-power+weber-percmem.mapjitter.klw	1	Risky first	2	vertex	0.65	0.545625	0.3	0.8	True
log-power+weber-percmem.mapjitter.klw	1	Risky second	0	ips	0.7	0.573875	0.35	0.8	True
log-power+weber-percmem.mapjitter.klw	1	Risky second	0	vertex	0.4	0.52975	0.3	0.75	True
log-power+weber-percmem.mapjitter.klw	1	Risky second	1	ips	0.65	0.611375	0.4487500000000001	0.8	True
log-power+weber-percmem.mapjitter.klw	1	Risky second	1	vertex	0.5789473684210527	0.5643421052631579	0.3684210526315789	0.7894736842105263	True
log-power+weber-percmem.mapjitter.klw	1	Risky second	2	ips	0.65	0.653375	0.45	0.85	True
log-power+weber-percmem.mapjitter.klw	1	Risky second	2	vertex	0.7	0.638625	0.4	0.85	True
log-power+weber-percmem.mapjitter.klw	2	Risky first	0	ips	0.3157894736842105	0.55	0.3157894736842105	0.7894736842105263	True
log-power+weber-percmem.mapjitter.klw	2	Risky first	0	vertex	0.5	0.5877777777777777	0.38750000000000007	0.7777777777777778	True
log-power+weber-percmem.mapjitter.klw	2	Risky first	1	ips	0.5238095238095238	0.594642857142857	0.38095238095238093	0.8095238095238095	True
log-power+weber-percmem.mapjitter.klw	2	Risky first	1	vertex	0.7058823529411765	0.5411764705882353	0.35294117647058826	0.7647058823529411	True
log-power+weber-percmem.mapjitter.klw	2	Risky first	2	ips	0.65	0.597375	0.4	0.85	True
log-power+weber-percmem.mapjitter.klw	2	Risky first	2	vertex	0.6842105263157895	0.6319736842105264	0.4197368421052632	0.8421052631578947	True
log-power+weber-percmem.mapjitter.klw	2	Risky second	0	ips	0.95	0.54525	0.35	0.75	False
log-power+weber-percmem.mapjitter.klw	2	Risky second	0	vertex	0.6190476190476191	0.5748809523809524	0.38095238095238093	0.7630952380952369	True
log-power+weber-percmem.mapjitter.klw	2	Risky second	1	ips	0.7	0.616875	0.45	0.8	True
log-power+weber-percmem.mapjitter.klw	2	Risky second	1	vertex	0.42105263157894735	0.5378947368421052	0.3157894736842105	0.6855263157894725	True
log-power+weber-percmem.mapjitter.klw	2	Risky second	2	ips	0.6	0.660625	0.45	0.85	True
log-power+weber-percmem.mapjitter.klw	2	Risky second	2	vertex	0.6666666666666666	0.7054166666666666	0.4444444444444444	0.9444444444444444	True
log-power+weber-percmem.mapjitter.klw	3	Risky first	0	ips	0.75	0.621	0.4	0.85	True
log-power+weber-percmem.mapjitter.klw	3	Risky first	0	vertex	0.7	0.61875	0.4	0.8012499999999989	True
log-power+weber-percmem.mapjitter.klw	3	Risky first	1	ips	0.5	0.62	0.4	0.8	True
