label	subject	order	stake_bin	stim	observed	model	lo	hi	covered
log-power-n1n2.mapjitter.klw.tn0.1	1	Risky first	0	ips	0.55	0.59125	0.4	0.8	True
log-power-n1n2.mapjitter.klw.tn0.1	1	Risky first	0	vertex	0.6	0.5705	0.35	0.8	True
log-power-n1n2.mapjitter.klw.tn0.1	1	Risky first	1	ips	0.6	0.581375	0.35	0.75	True
log-power-n1n2.mapjitter.klw.tn0.1	1	Risky first	1	vertex	0.25	0.5423749999999999	0.34875000000000006	0.75	False
log-power-n1n2.mapjitter.klw.tn0.1	1	Risky first	2	ips	0.6	0.567125	0.34875000000000006	0.8	True
log-power-n1n2.mapjitter.klw.tn0.1	1	Risky first	2	vertex	0.65	0.5275	0.25	0.8	True
log-power-n1n2.mapjitter.klw.tn0.1	1	Risky second	0	ips	0.7	0.568	0.35	0.8	True
log-power-n1n2.mapjitter.klw.tn0.1	1	Risky second	0	vertex	0.4	0.549375	0.35	0.8	True
log-power-n1n2.mapjitter.klw.tn0.1	1	Risky second	1	ips	0.65	0.607125	0.4	0.8	True
log-power-n1n2.mapjitter.klw.tn0.1	1	Risky second	1	vertex	0.5789473684210527	0.5939473684210527	0.3684210526315789	0.8421052631578947	True
log-power-n1n2.mapjitter.klw.tn0.1	1	Risky second	2	ips	0.65	0.623375	0.4	0.85	True
log-power-n1n2.mapjitter.klw.tn0.1	1	Risky second	2	vertex	0.7	0.634375	0.4	0.85	True
log-power-n1n2.mapjitter.klw.tn0.1	2	Risky first	0	ips	0.3157894736842105	0.43618421052631573	0.21052631578947367	0.6842105263157895	True
log-power-n1n2.mapjitter.klw.tn0.1	2	Risky first	0	vertex	0.5	0.5675	0.3888888888888889	0.7777777777777778	True
log-power-n1n2.mapjitter.klw.tn0.1	2	Risky first	1	ips	0.5238095238095238	0.5683333333333332	0.38095238095238093	0.7619047619047619	True
log-power-n1n2.mapjitter.klw.tn0.1	2	Risky first	1	vertex	0.7058823529411765	0.5585294117647059	0.35294117647058826	0.7647058823529411	True
log-power-n1n2.mapjitter.klw.tn0.1	2	Risky first	2	ips	0.65	0.6128750000000001	0.4	0.8	True
log-power-n1n2.mapjitter.klw.tn0.1	2	Risky first	2	vertex	0.6842105263157895	0.6702631578947367	0.4723684210526316	0.8947368421052632	True
log-power-n1n2.mapjitter.klw.tn0.1	2	Risky second	0	ips	0.95	0.6388750000000001	0.4	0.85	False
log-power-n1n2.mapjitter.klw.tn0.1	2	Risky second	0	vertex	0.6190476190476191	0.6061904761904762	0.4273809523809524	0.8095238095238095	True
log-power-n1n2.mapjitter.klw.tn0.1	2	Risky second	1	ips	0.7	0.654875	0.45	0.85	True
log-power-n1n2.mapjitter.klw.tn0.1	2	Risky second	1	vertex	0.42105263157894735	0.5311842105263157	0.3157894736842105	0.7368421052631579	True
log-power-n1n2.mapjitter.klw.tn0.1	2	Risky second	2	ips	0.6	0.6416249999999999	0.4487500000000001	0.85	True
log-power-n1n2.mapjitter.klw.tn0.1	2	Risky second	2	vertex	0.6666666666666666	0.6608333333333334	0.3888888888888889	0.8888888888888888	True
log-power-n1n2.mapjitter.klw.tn0.1	3	Risky first	0	ips	0.75	0.6408750000000001	0.4	0.85	True
log-power-n1n2.mapjitter.klw.tn0.1	3	Risky first	0	vertex	0.7	0.65	0.45	0.85	True
log-power-n1n2.mapjitter.klw.tn0.1	3	Risky first	1	ips	0.5	0.6183749999999999	0.4	0.8	True
log-power-n1n2.mapjitter.klw.tn0.1	3	Risky first	1	vertex	0.6	0.6261249999999999	0.45	0.8	True
log-power-n1n2.mapjitter.klw.tn0.1	3	Risky first	2	ips	0.7	0.61925	0.4	0.85	True
log-power-n1n2.mapjitter.klw.tn0.1	3	Risky first	2	vertex	0.7	0.6666249999999999	0.5	0.85	True
log-power-n1n2.mapjitter.klw.tn0.1	3	Risky second	0	ips	0.5	0.48574999999999996	0.25	0.7	True
log-power-n1n2.mapjitter.klw.tn0.1	3	Risky second	0	vertex	0.3	0.455875	0.25	0.7	True
log-power-n1n2.mapjitter.klw.tn0.1	3	Risky second	1	ips	0.65	0.59625	0.4	0.8	True
log-power-n1n2.mapjitter.klw.tn0.1	3	Risky second	1	vertex	0.55	0.588875	0.4	0.75	True
log-power-n1n2.mapjitter.klw.tn0.1	3	Risky second	2	ips	0.75	0.6607500000000002	0.45	0.8512499999999988	True
log-power-n1n2.mapjitter.klw.tn0.1	3	Risky second	2	vertex	0.7	0.67325	0.45	0.9	True
log-power-n1n2.mapjitter.klw.tn0.1	4	Risky first	0	ips	0.4	0.50225	0.3	0.75	True
log-power-n1n2.mapjitter.klw.tn0.1	4	Risky first	0	vertex	0.6111111111111112	0.4829166666666667	0.27638888888888896	0.7222222222222222	True
log-power-n1n2.mapjitter.klw.tn0.1	4	Risky first	1	ips	0.4	0.39662499999999995	0.2	0.6	True
log-power-n1n2.mapjitter.klw.tn0.1	4	Risky first	1	vertex	0.3157894736842105	0.37631578947368416	0.15789473684210525	0.5789473684210527	True
log-power-n1n2.mapjitter.klw.tn0.1	4	Risky first	2	ips	0.1	0.27775	0.1	0.5	True
log-power-n1n2.mapjitter.klw.tn0.1	4	Risky first	2	vertex	0.2222222222222222	0.26513888888888887	0.05555555555555555	0.5	True
log-power-n1n2.mapjitter.klw.tn0.1	4	Risky second	0	ips	0.42857142857142855	0.500357142857143	0.2857142857142857	0.7142857142857143	True
log-power-n1n2.mapjitter.klw.tn0.1	4	Risky second	0	vertex	0.47368421052631576	0.5148684210526315	0.2631578947368421	0.7368421052631579	True
log-power-n1n2.mapjitter.klw.tn0.1	4	Risky second	1	ips	0.631578947368421	0.5546052631578947	0.36710526315789477	0.7381578947368409	True
log-power-n1n2.mapjitter.klw.tn0.1	4	Risky second	1	vertex	0.6	0.586125	0.4	0.8	True
log-power-n1n2.mapjitter.klw.tn0.1	4	Risky second	2	ips	0.55	0.53075	0.29875000000000007	0.75	True
log-power-n1n2.mapjitter.klw.tn0.1	4	Risky second	2	vertex	0.65	0.6042500000000001	0.35	0.8	True
log-power-n1n2.mapjitter.klw.tn0.1	5	Risky first	0	ips	0.95	0.8597499999999999	0.7	1.0	True
log-power-n1n2.mapjitter.klw.tn0.1	5	Risky first	0	vertex	1.0	0.8734999999999999	0.7	1.0	True
log-power-n1n2.mapjitter.klw.tn0.1	5	Risky first	1	ips	0.8	0.7829999999999998	0.6	0.95	True
log-power-n1n2.mapjitter.klw.tn0.1	5	Risky first	1	vertex	0.8	0.770625	0.55	0.95	True
log-power-n1n2.mapjitter.klw.tn0.1	5	Risky first	2	ips	0.75	0.72075	0.5	0.9	True
log-power-n1n2.mapjitter.klw.tn0.1	5	Risky first	2	vertex	0.75	0.6507499999999999	0.4	0.9	True
log-power-n1n2.mapjitter.klw.tn0.1	5	Risky second	0	ips	0.6	0.6940000000000001	0.45	0.9	True
log-power-n1n2.mapjitter.klw.tn0.1	5	Risky second	0	vertex	0.75	0.6517499999999999	0.4	0.85	True
log-power-n1n2.mapjitter.klw.tn0.1	5	Risky second	1	ips	0.85	0.7388750000000001	0.5	0.9	True
log-power-n1n2.mapjitter.klw.tn0.1	5	Risky second	1	vertex	0.55	0.7084999999999999	0.5	0.9	True
log-power-n1n2.mapjitter.klw.tn0.1	5	Risky second	2	ips	0.85	0.746375	0.55	0.95	True
log-power-n1n2.mapjitter.klw.tn0.1	5	Risky second	2	vertex	0.75	0.7373749999999998	0.5	0.9	True
log-power-n1n2.mapjitter.klw.tn0.1	6	Risky first	0	ips	0.4	0.364625	0.15	0.55	True
log-power-n1n2.mapjitter.klw.tn0.1	6	Risky first	0	vertex	0.2	0.34700000000000003	0.15	0.55	True
log-power-n1n2.mapjitter.klw.tn0.1	6	Risky first	1	ips	0.45	0.4003750000000001	0.25	0.6	True
log-power-n1n2.mapjitter.klw.tn0.1	6	Risky first	1	vertex	0.4	0.36174999999999996	0.2	0.55	True
log-power-n1n2.mapjitter.klw.tn0.1	6	Risky first	2	ips	0.15	0.26675	0.09875000000000007	0.45	True
log-power-n1n2.mapjitter.klw.tn0.1	6	Risky first	2	vertex	0.1	0.19549999999999998	0.05	0.35	True
log-power-n1n2.mapjitter.klw.tn0.1	6	Risky second	0	ips	0.5	0.38537499999999997	0.2	0.6	True
log-power-n1n2.mapjitter.klw.tn0.1	6	Risky second	0	vertex	0.3	0.39049999999999996	0.2	0.6	True
log-power-n1n2.mapjitter.klw.tn0.1	6	Risky second	1	ips	0.5	0.536125	0.35	0.7	True
log-power-n1n2.mapjitter.klw.tn0.1	6	Risky second	1	vertex	0.65	0.5421250000000001	0.35	0.75	True
log-power-n1n2.mapjitter.klw.tn0.1	6	Risky second	2	ips	0.5	0.49925	0.3	0.7	True
log-power-n1n2.mapjitter.klw.tn0.1	6	Risky second	2	vertex	0.45	0.495625	0.29875000000000007	0.7	True
log-power-n1n2.mapjitter.klw.tn0.1	7	Risky first	0	ips	0.7368421052631579	0.5943421052631578	0.3684210526315789	0.8421052631578947	True
log-power-n1n2.mapjitter.klw.tn0.1	7	Risky first	0	vertex	0.47368421052631576	0.6089473684210526	0.3684210526315789	0.8421052631578947	True
log-power-n1n2.mapjitter.klw.tn0.1	7	Risky first	1	ips	0.5789473684210527	0.6517105263157894	0.42105263157894735	0.8421052631578947	True
log-power-n1n2.mapjitter.klw.tn0.1	7	Risky first	1	vertex	0.75	0.636875	0.45	0.8	True
log-power-n1n2.mapjitter.klw.tn0.1	7	Risky first	2	ips	0.7	0.676875	0.45	0.9	True
log-power-n1n2.mapjitter.klw.tn0.1	7	Risky first	2	vertex	0.8	0.6835	0.45	0.9	True
log-power-n1n2.mapjitter.klw.tn0.1	7	Risky second	0	ips	0.6666666666666666	0.6072619047619048	0.38095238095238093	0.8095238095238095	True
log-power-n1n2.mapjitter.klw.tn0.1	7	Risky second	0	vertex	0.7	0.627375	0.4487500000000001	0.85	True
log-power-n1n2.mapjitter.klw.tn0.1	7	Risky second	1	ips	0.7894736842105263	0.6561842105263159	0.47368421052631576	0.8421052631578947	True
log-power-n1n2.mapjitter.klw.tn0.1	7	Risky second	1	vertex	0.65	0.6257499999999999	0.4487500000000001	0.85	True
log-power-n1n2.mapjitter.klw.tn0.1	7	Risky second	2	ips	0.631578947368421	0.6980263157894737	0.47368421052631576	0.8947368421052632	True
log-power-n1n2.mapjitter.klw.tn0.1	7	Risky second	2	vertex	0.7	0.6555	0.4	0.85	True
log-power-n1n2.mapjitter.klw.tn0.1	9	Risky first	0	ips	0.7	0.5579999999999999	0.3	0.8	True
log-power-n1n2.mapjitter.klw.tn0.1	9	Risky first	0	vertex	0.5	0.5061249999999999	0.3	0.75	True
log-power-n1n2.mapjitter.klw.tn0.1	9	Risky first	1	ips	0.25	0.328375	0.1	0.55	True
log-power-n1n2.mapjitter.klw.tn0.1	9	Risky first	1	vertex	0.05	0.231	0.05	0.45	True
log-power-n1n2.mapjitter.klw.tn0.1	9	Risky first	2	ips	0.0	0.11275	0.0	0.3	True
log-power-n1n2.mapjitter.klw.tn0.1	9	Risky first	2	vertex	0.0	0.08862500000000001	0.0	0.25	True
log-power-n1n2.mapjitter.klw.tn0.1	9	Risky second	0	ips	0.75	0.6883750000000001	0.45	0.8512499999999988	True
log-power-n1n2.mapjitter.klw.tn0.1	9	Risky second	0	vertex	0.8	0.627	0.4	0.85	True
log-power-n1n2.mapjitter.klw.tn0.1	9	Risky second	1	ips	0.5	0.5770000000000001	0.35	0.8	True
log-power-n1n2.mapjitter.klw.tn0.1	9	Risky second	1	vertex	0.15	0.32325000000000004	0.1	0.55	True
log-power-n1n2.mapjitter.klw.tn0.1	9	Risky second	2	ips	0.55	0.41962499999999997	0.2	0.6512499999999989	True
log-power-n1n2.mapjitter.klw.tn0.1	9	Risky second	2	vertex	0.0	0.12912500000000002	0.0	0.35	True
log-power-n1n2.mapjitter.klw.tn0.1	10	Risky first	0	ips	0.95	0.8029999999999999	0.6	0.95	True
log-power-n1n2.mapjitter.klw.tn0.1	10	Risky first	0	vertex	0.8	0.818125	0.6	0.95	True
log-power-n1n2.mapjitter.klw.tn0.1	10	Risky first	1	ips	0.85	0.7111250000000001	0.55	0.9	True
log-power-n1n2.mapjitter.klw.tn0.1	10	Risky first	1	vertex	0.8	0.7133750000000001	0.5	0.9	True
log-power-n1n2.mapjitter.klw.tn0.1	10	Risky first	2	ips	0.55	0.648125	0.4	0.85	True
log-power-n1n2.mapjitter.klw.tn0.1	10	Risky first	2	vertex	0.65	0.61725	0.35	0.85	True
log-power-n1n2.mapjitter.klw.tn0.1	10	Risky second	0	ips	0.7	0.626625	0.35	0.85	True
log-power-n1n2.mapjitter.klw.tn0.1	10	Risky second	0	vertex	0.4	0.5835	0.35	0.8	True
log-power-n1n2.mapjitter.klw.tn0.1	10	Risky second	1	ips	0.8	0.6911250000000001	0.5	0.8512499999999988	True
