label	subject	order	stake_bin	stim	observed	model	lo	hi	covered
log-power-null	1	Risky first	0	ips	0.55	0.5715	0.35	0.75	True
log-power-null	1	Risky first	0	vertex	0.6	0.569	0.35	0.75	True
log-power-null	1	Risky first	1	ips	0.6	0.559125	0.4	0.75	True
log-power-null	1	Risky first	1	vertex	0.25	0.553125	0.35	0.75	False
log-power-null	1	Risky first	2	ips	0.6	0.547625	0.3	0.75	True
log-power-null	1	Risky first	2	vertex	0.65	0.54325	0.3	0.75	True
log-power-null	1	Risky second	0	ips	0.7	0.569625	0.35	0.7512499999999989	True
log-power-null	1	Risky second	0	vertex	0.4	0.57875	0.35	0.8	True
log-power-null	1	Risky second	1	ips	0.65	0.6113749999999999	0.4487500000000001	0.8	True
log-power-null	1	Risky second	1	vertex	0.5789473684210527	0.6057894736842105	0.3684210526315789	0.7894736842105263	True
log-power-null	1	Risky second	2	ips	0.65	0.664375	0.45	0.85	True
log-power-null	1	Risky second	2	vertex	0.7	0.659375	0.45	0.85	True
log-power-null	2	Risky first	0	ips	0.3157894736842105	0.5197368421052632	0.3157894736842105	0.7368421052631579	True
log-power-null	2	Risky first	0	vertex	0.5	0.5797222222222222	0.3888888888888889	0.7777777777777778	True
log-power-null	2	Risky first	1	ips	0.5238095238095238	0.5945238095238095	0.42857142857142855	0.7619047619047619	True
log-power-null	2	Risky first	1	vertex	0.7058823529411765	0.5225	0.29411764705882354	0.7058823529411765	True
log-power-null	2	Risky first	2	ips	0.65	0.5975	0.4	0.8	True
log-power-null	2	Risky first	2	vertex	0.6842105263157895	0.6286842105263157	0.42105263157894735	0.8421052631578947	True
log-power-null	2	Risky second	0	ips	0.95	0.560125	0.35	0.75	False
log-power-null	2	Risky second	0	vertex	0.6190476190476191	0.6020238095238095	0.38095238095238093	0.8095238095238095	True
log-power-null	2	Risky second	1	ips	0.7	0.66525	0.45	0.85	True
log-power-null	2	Risky second	1	vertex	0.42105263157894735	0.5751315789473684	0.3684210526315789	0.7368421052631579	True
log-power-null	2	Risky second	2	ips	0.6	0.69375	0.5	0.85	True
log-power-null	2	Risky second	2	vertex	0.6666666666666666	0.7445833333333334	0.5555555555555556	0.9444444444444444	True
log-power-null	3	Risky first	0	ips	0.75	0.625125	0.45	0.85	True
log-power-null	3	Risky first	0	vertex	0.7	0.6251249999999999	0.45	0.85	True
log-power-null	3	Risky first	1	ips	0.5	0.621	0.45	0.8	True
log-power-null	3	Risky first	1	vertex	0.6	0.62175	0.45	0.8	True
log-power-null	3	Risky first	2	ips	0.7	0.6613749999999999	0.45	0.85	True
log-power-null	3	Risky first	2	vertex	0.7	0.65975	0.45	0.8	True
log-power-null	3	Risky second	0	ips	0.5	0.48362499999999997	0.3	0.7	True
log-power-null	3	Risky second	0	vertex	0.3	0.47975	0.25	0.7	True
log-power-null	3	Risky second	1	ips	0.65	0.59775	0.4	0.8	True
log-power-null	3	Risky second	1	vertex	0.55	0.5916250000000001	0.4	0.75	True
log-power-null	3	Risky second	2	ips	0.75	0.690375	0.45	0.9	True
log-power-null	3	Risky second	2	vertex	0.7	0.685875	0.5	0.8512499999999988	True
log-power-null	4	Risky first	0	ips	0.4	0.4925	0.3	0.75	True
log-power-null	4	Risky first	0	vertex	0.6111111111111112	0.4566666666666667	0.2222222222222222	0.7222222222222222	True
log-power-null	4	Risky first	1	ips	0.4	0.36200000000000004	0.15	0.55	True
log-power-null	4	Risky first	1	vertex	0.3157894736842105	0.3447368421052632	0.15789473684210525	0.5789473684210527	True
log-power-null	4	Risky first	2	ips	0.1	0.20387500000000003	0.05	0.4	True
log-power-null	4	Risky first	2	vertex	0.2222222222222222	0.22430555555555556	0.05555555555555555	0.4444444444444444	True
log-power-null	4	Risky second	0	ips	0.42857142857142855	0.5170238095238094	0.2857142857142857	0.7619047619047619	True
log-power-null	4	Risky second	0	vertex	0.47368421052631576	0.5242105263157895	0.3157894736842105	0.7368421052631579	True
log-power-null	4	Risky second	1	ips	0.631578947368421	0.5847368421052631	0.3684210526315789	0.7894736842105263	True
log-power-null	4	Risky second	1	vertex	0.6	0.580875	0.4	0.7512499999999989	True
log-power-null	4	Risky second	2	ips	0.55	0.55425	0.3	0.8	True
log-power-null	4	Risky second	2	vertex	0.65	0.552	0.3	0.8	True
