label	subject	order	stake_bin	stim	observed	model	lo	hi	covered
log-spl3-n2	1	Risky first	0	ips	0.55	0.5495	0.3	0.7512499999999989	True
log-spl3-n2	1	Risky first	0	vertex	0.6	0.57275	0.35	0.8	True
log-spl3-n2	1	Risky first	1	ips	0.6	0.5327500000000001	0.34875000000000006	0.7	True
log-spl3-n2	1	Risky first	1	vertex	0.25	0.52725	0.35	0.75	False
log-spl3-n2	1	Risky first	2	ips	0.6	0.581875	0.35	0.8	True
log-spl3-n2	1	Risky first	2	vertex	0.65	0.5798749999999999	0.35	0.8	True
log-spl3-n2	1	Risky second	0	ips	0.7	0.585875	0.35	0.8	True
log-spl3-n2	1	Risky second	0	vertex	0.4	0.591375	0.35	0.8	True
log-spl3-n2	1	Risky second	1	ips	0.65	0.6089999999999999	0.4	0.8	True
log-spl3-n2	1	Risky second	1	vertex	0.5789473684210527	0.5948684210526316	0.3684210526315789	0.8421052631578947	True
log-spl3-n2	1	Risky second	2	ips	0.65	0.6298750000000001	0.4	0.85	True
log-spl3-n2	1	Risky second	2	vertex	0.7	0.65125	0.4	0.85	True
log-spl3-n2	2	Risky first	0	ips	0.3157894736842105	0.4315789473684211	0.21052631578947367	0.6328947368421041	True
log-spl3-n2	2	Risky first	0	vertex	0.5	0.5468055555555555	0.3333333333333333	0.7777777777777778	True
log-spl3-n2	2	Risky first	1	ips	0.5238095238095238	0.5594047619047618	0.3797619047619048	0.7619047619047619	True
log-spl3-n2	2	Risky first	1	vertex	0.7058823529411765	0.5694117647058823	0.35294117647058826	0.7647058823529411	True
log-spl3-n2	2	Risky first	2	ips	0.65	0.6245	0.45	0.8	True
log-spl3-n2	2	Risky first	2	vertex	0.6842105263157895	0.7319736842105263	0.5263157894736842	0.8947368421052632	True
log-spl3-n2	2	Risky second	0	ips	0.95	0.67375	0.45	0.9	False
log-spl3-n2	2	Risky second	0	vertex	0.6190476190476191	0.6435714285714286	0.42857142857142855	0.8571428571428571	True
log-spl3-n2	2	Risky second	1	ips	0.7	0.684625	0.5	0.85	True
log-spl3-n2	2	Risky second	1	vertex	0.42105263157894735	0.526578947368421	0.3157894736842105	0.7368421052631579	True
log-spl3-n2	2	Risky second	2	ips	0.6	0.6458750000000001	0.4487500000000001	0.85	True
log-spl3-n2	2	Risky second	2	vertex	0.6666666666666666	0.6608333333333333	0.4430555555555556	0.8888888888888888	True
log-spl3-n2	3	Risky first	0	ips	0.75	0.6415000000000001	0.4	0.85	True
log-spl3-n2	3	Risky first	0	vertex	0.7	0.67875	0.5	0.9	True
log-spl3-n2	3	Risky first	1	ips	0.5	0.631875	0.45	0.8	True
log-spl3-n2	3	Risky first	1	vertex	0.6	0.6458750000000001	0.45	0.85	True
log-spl3-n2	3	Risky first	2	ips	0.7	0.6695	0.45	0.85	True
log-spl3-n2	3	Risky first	2	vertex	0.7	0.674375	0.5	0.85	True
log-spl3-n2	3	Risky second	0	ips	0.5	0.48162499999999997	0.25	0.7	True
log-spl3-n2	3	Risky second	0	vertex	0.3	0.4391250000000001	0.2	0.65	True
log-spl3-n2	3	Risky second	1	ips	0.65	0.6010000000000001	0.4	0.8	True
log-spl3-n2	3	Risky second	1	vertex	0.55	0.581875	0.4	0.75	True
log-spl3-n2	3	Risky second	2	ips	0.75	0.6703749999999999	0.45	0.85	True
log-spl3-n2	3	Risky second	2	vertex	0.7	0.68425	0.45	0.9	True
log-spl3-n2	4	Risky first	0	ips	0.4	0.493375	0.3	0.75	True
log-spl3-n2	4	Risky first	0	vertex	0.6111111111111112	0.4945833333333334	0.2777777777777778	0.7236111111111099	True
log-spl3-n2	4	Risky first	1	ips	0.4	0.351875	0.15	0.55	True
log-spl3-n2	4	Risky first	1	vertex	0.3157894736842105	0.33513157894736834	0.15657894736842112	0.5263157894736842	True
log-spl3-n2	4	Risky first	2	ips	0.1	0.18237499999999998	0.0	0.4	True
log-spl3-n2	4	Risky first	2	vertex	0.2222222222222222	0.1922222222222222	0.0	0.3888888888888889	True
log-spl3-n2	4	Risky second	0	ips	0.42857142857142855	0.4954761904761905	0.2857142857142857	0.7142857142857143	True
log-spl3-n2	4	Risky second	0	vertex	0.47368421052631576	0.5059210526315789	0.2631578947368421	0.7368421052631579	True
log-spl3-n2	4	Risky second	1	ips	0.631578947368421	0.5694736842105264	0.3684210526315789	0.7894736842105263	True
log-spl3-n2	4	Risky second	1	vertex	0.6	0.590375	0.4	0.8	True
log-spl3-n2	4	Risky second	2	ips	0.55	0.54925	0.3	0.8	True
log-spl3-n2	4	Risky second	2	vertex	0.65	0.6333749999999999	0.35	0.85	True
log-spl3-n2	5	Risky first	0	ips	0.95	0.904375	0.75	1.0	True
