label	subject	order	stake_bin	stim	observed	model	lo	hi	covered
log-spl3-nullind	1	Risky first	0	ips	0.55	0.5636249999999999	0.35	0.75	True
log-spl3-nullind	1	Risky first	0	vertex	0.6	0.568	0.35	0.8	True
log-spl3-nullind	1	Risky first	1	ips	0.6	0.541125	0.35	0.75	True
log-spl3-nullind	1	Risky first	1	vertex	0.25	0.53425	0.35	0.75	False
log-spl3-nullind	1	Risky first	2	ips	0.6	0.581875	0.35	0.8	True
log-spl3-nullind	1	Risky first	2	vertex	0.65	0.57775	0.34875000000000006	0.8	True
log-spl3-nullind	1	Risky second	0	ips	0.7	0.585125	0.35	0.8	True
log-spl3-nullind	1	Risky second	0	vertex	0.4	0.5948749999999999	0.4	0.8	True
log-spl3-nullind	1	Risky second	1	ips	0.65	0.619375	0.4	0.8	True
log-spl3-nullind	1	Risky second	1	vertex	0.5789473684210527	0.6123684210526317	0.42105263157894735	0.8421052631578947	True
log-spl3-nullind	1	Risky second	2	ips	0.65	0.636	0.4	0.8512499999999988	True
log-spl3-nullind	1	Risky second	2	vertex	0.7	0.633	0.4	0.85	True
log-spl3-nullind	2	Risky first	0	ips	0.3157894736842105	0.4751315789473684	0.2631578947368421	0.6855263157894725	True
log-spl3-nullind	2	Risky first	0	vertex	0.5	0.5427777777777778	0.3333333333333333	0.7777777777777778	True
log-spl3-nullind	2	Risky first	1	ips	0.5238095238095238	0.6019047619047619	0.42857142857142855	0.8095238095238095	True
log-spl3-nullind	2	Risky first	1	vertex	0.7058823529411765	0.5319117647058824	0.29411764705882354	0.7058823529411765	True
log-spl3-nullind	2	Risky first	2	ips	0.65	0.6708750000000001	0.5	0.85	True
log-spl3-nullind	2	Risky first	2	vertex	0.6842105263157895	0.7017105263157895	0.5263157894736842	0.8947368421052632	True
log-spl3-nullind	2	Risky second	0	ips	0.95	0.62275	0.35	0.85	False
log-spl3-nullind	2	Risky second	0	vertex	0.6190476190476191	0.6570238095238095	0.47619047619047616	0.8571428571428571	True
log-spl3-nullind	2	Risky second	1	ips	0.7	0.65875	0.45	0.85	True
log-spl3-nullind	2	Risky second	1	vertex	0.42105263157894735	0.5638157894736842	0.3684210526315789	0.7368421052631579	True
log-spl3-nullind	2	Risky second	2	ips	0.6	0.6185	0.4	0.85	True
log-spl3-nullind	2	Risky second	2	vertex	0.6666666666666666	0.6698611111111111	0.4444444444444444	0.8888888888888888	True
log-spl3-nullind	3	Risky first	0	ips	0.75	0.632375	0.4	0.85	True
log-spl3-nullind	3	Risky first	0	vertex	0.7	0.63375	0.4	0.85	True
log-spl3-nullind	3	Risky first	1	ips	0.5	0.625625	0.45	0.8	True
log-spl3-nullind	3	Risky first	1	vertex	0.6	0.62525	0.45	0.8	True
log-spl3-nullind	3	Risky first	2	ips	0.7	0.6671250000000001	0.45	0.85	True
log-spl3-nullind	3	Risky first	2	vertex	0.7	0.668875	0.5	0.85	True
log-spl3-nullind	3	Risky second	0	ips	0.5	0.475125	0.25	0.7	True
log-spl3-nullind	3	Risky second	0	vertex	0.3	0.469	0.25	0.7	True
log-spl3-nullind	3	Risky second	1	ips	0.65	0.6103749999999999	0.4487500000000001	0.8	True
log-spl3-nullind	3	Risky second	1	vertex	0.55	0.60075	0.4	0.8	True
log-spl3-nullind	3	Risky second	2	ips	0.75	0.6970000000000001	0.45	0.9	True
log-spl3-nullind	3	Risky second	2	vertex	0.7	0.6895	0.45	0.9	True
log-spl3-nullind	4	Risky first	0	ips	0.4	0.5116250000000001	0.3	0.75	True
log-spl3-nullind	4	Risky first	0	vertex	0.6111111111111112	0.47416666666666674	0.2222222222222222	0.7222222222222222	True
log-spl3-nullind	4	Risky first	1	ips	0.4	0.36424999999999996	0.15	0.55	True
log-spl3-nullind	4	Risky first	1	vertex	0.3157894736842105	0.3438157894736842	0.15789473684210525	0.5789473684210527	True
log-spl3-nullind	4	Risky first	2	ips	0.1	0.19037500000000002	0.0	0.4	True
log-spl3-nullind	4	Risky first	2	vertex	0.2222222222222222	0.2033333333333333	0.0	0.4444444444444444	True
log-spl3-nullind	4	Risky second	0	ips	0.42857142857142855	0.5017857142857143	0.2857142857142857	0.7142857142857143	True
log-spl3-nullind	4	Risky second	0	vertex	0.47368421052631576	0.5076315789473684	0.2631578947368421	0.7368421052631579	True
log-spl3-nullind	4	Risky second	1	ips	0.631578947368421	0.5932894736842106	0.3684210526315789	0.7907894736842094	True
log-spl3-nullind	4	Risky second	1	vertex	0.6	0.5826250000000001	0.4	0.8	True
log-spl3-nullind	4	Risky second	2	ips	0.55	0.578875	0.35	0.8	True
log-spl3-nullind	4	Risky second	2	vertex	0.65	0.5763750000000001	0.35	0.8	True
log-spl3-nullind	5	Risky first	0	ips	0.95	0.9066249999999999	0.75	1.0	True
log-spl3-nullind	5	Risky first	0	vertex	1.0	0.9038749999999999	0.75	1.0	True
log-spl3-nullind	5	Risky first	1	ips	0.8	0.8122499999999999	0.65	1.0	True
log-spl3-nullind	5	Risky first	1	vertex	0.8	0.80925	0.6	0.95	True
log-spl3-nullind	5	Risky first	2	ips	0.75	0.7427499999999999	0.55	0.9	True
log-spl3-nullind	5	Risky first	2	vertex	0.75	0.742125	0.5	0.9	True
log-spl3-nullind	5	Risky second	0	ips	0.6	0.68375	0.45	0.9	True
log-spl3-nullind	5	Risky second	0	vertex	0.75	0.679875	0.45	0.85	True
log-spl3-nullind	5	Risky second	1	ips	0.85	0.763625	0.6	0.95	True
log-spl3-nullind	5	Risky second	1	vertex	0.55	0.756875	0.55	0.95	True
log-spl3-nullind	5	Risky second	2	ips	0.85	0.786	0.6	0.95	True
log-spl3-nullind	5	Risky second	2	vertex	0.75	0.7859999999999999	0.6	0.95	True
log-spl3-nullind	6	Risky first	0	ips	0.4	0.34025	0.15	0.55	True
log-spl3-nullind	6	Risky first	0	vertex	0.2	0.33337500000000003	0.15	0.5012499999999989	True
log-spl3-nullind	6	Risky first	1	ips	0.45	0.35787499999999994	0.2	0.5012499999999989	True
log-spl3-nullind	6	Risky first	1	vertex	0.4	0.3605	0.2	0.55	True
log-spl3-nullind	6	Risky first	2	ips	0.15	0.16899999999999998	0.04875000000000007	0.35	True
log-spl3-nullind	6	Risky first	2	vertex	0.1	0.1775	0.05	0.35	True
log-spl3-nullind	6	Risky second	0	ips	0.5	0.391875	0.25	0.55	True
log-spl3-nullind	6	Risky second	0	vertex	0.3	0.391875	0.25	0.55	True
log-spl3-nullind	6	Risky second	1	ips	0.5	0.55675	0.4	0.7	True
log-spl3-nullind	6	Risky second	1	vertex	0.65	0.5495	0.35	0.75	True
log-spl3-nullind	6	Risky second	2	ips	0.5	0.48387500000000006	0.25	0.7	True
log-spl3-nullind	6	Risky second	2	vertex	0.45	0.49012500000000003	0.3	0.7	True
log-spl3-nullind	7	Risky first	0	ips	0.7368421052631579	0.5896052631578947	0.3684210526315789	0.7907894736842094	True
log-spl3-nullind	7	Risky first	0	vertex	0.47368421052631576	0.6423684210526315	0.3684210526315789	0.8421052631578947	True
log-spl3-nullind	7	Risky first	1	ips	0.5789473684210527	0.6739473684210526	0.42105263157894735	0.8434210526315777	True
log-spl3-nullind	7	Risky first	1	vertex	0.75	0.6580000000000001	0.45	0.85	True
log-spl3-nullind	7	Risky first	2	ips	0.7	0.7282499999999998	0.5	0.95	True
log-spl3-nullind	7	Risky first	2	vertex	0.8	0.7282500000000001	0.55	0.9	True
log-spl3-nullind	7	Risky second	0	ips	0.6666666666666666	0.6277380952380952	0.42857142857142855	0.8095238095238095	True
log-spl3-nullind	7	Risky second	0	vertex	0.7	0.6458750000000001	0.45	0.85	True
log-spl3-nullind	7	Risky second	1	ips	0.7894736842105263	0.6917105263157894	0.47368421052631576	0.8947368421052632	True
log-spl3-nullind	7	Risky second	1	vertex	0.65	0.6786250000000001	0.5	0.9	True
log-spl3-nullind	7	Risky second	2	ips	0.631578947368421	0.7059210526315789	0.47368421052631576	0.8947368421052632	True
log-spl3-nullind	7	Risky second	2	vertex	0.7	0.713625	0.45	0.9	True
log-spl3-nullind	9	Risky first	0	ips	0.7	0.5323749999999999	0.3	0.75	True
log-spl3-nullind	9	Risky first	0	vertex	0.5	0.5351250000000001	0.3	0.75	True
log-spl3-nullind	9	Risky first	1	ips	0.25	0.20387500000000003	0.05	0.4	True
log-spl3-nullind	9	Risky first	1	vertex	0.05	0.19825000000000004	0.05	0.4	True
log-spl3-nullind	9	Risky first	2	ips	0.0	0.0275	0.0	0.1	True
log-spl3-nullind	9	Risky first	2	vertex	0.0	0.029625000000000002	0.0	0.10124999999999887	True
log-spl3-nullind	9	Risky second	0	ips	0.75	0.6830000000000002	0.45	0.8512499999999988	True
log-spl3-nullind	9	Risky second	0	vertex	0.8	0.689875	0.45	0.9	True
log-spl3-nullind	9	Risky second	1	ips	0.5	0.44462500000000005	0.25	0.65	True
log-spl3-nullind	9	Risky second	1	vertex	0.15	0.44387499999999996	0.25	0.65	False
log-spl3-nullind	9	Risky second	2	ips	0.55	0.21125	0.05	0.45	False
log-spl3-nullind	9	Risky second	2	vertex	0.0	0.209125	0.05	0.45	False
log-spl3-nullind	10	Risky first	0	ips	0.95	0.8675	0.7	1.0	True
log-spl3-nullind	10	Risky first	0	vertex	0.8	0.8682499999999999	0.7	1.0	True
log-spl3-nullind	10	Risky first	1	ips	0.85	0.7438749999999998	0.55	0.9	True
log-spl3-nullind	10	Risky first	1	vertex	0.8	0.7507499999999999	0.55	0.9	True
log-spl3-nullind	10	Risky first	2	ips	0.55	0.667625	0.45	0.85	True
log-spl3-nullind	10	Risky first	2	vertex	0.65	0.661375	0.4487500000000001	0.8512499999999988	True
log-spl3-nullind	10	Risky second	0	ips	0.7	0.604875	0.35	0.8	True
log-spl3-nullind	10	Risky second	0	vertex	0.4	0.6025	0.35	0.85	True
log-spl3-nullind	10	Risky second	1	ips	0.8	0.722125	0.55	0.9	True
log-spl3-nullind	10	Risky second	1	vertex	0.65	0.7202500000000001	0.5	0.9	True
log-spl3-nullind	10	Risky second	2	ips	0.65	0.754	0.55	0.95	True
log-spl3-nullind	10	Risky second	2	vertex	1.0	0.7658750000000001	0.5	0.95	False
log-spl3-nullind	11	Risky first	0	ips	0.6	0.568875	0.35	0.7512499999999989	True
log-spl3-nullind	11	Risky first	0	vertex	0.6666666666666666	0.555952380952381	0.3333333333333333	0.7619047619047619	True
log-spl3-nullind	11	Risky first	1	ips	0.4	0.603375	0.45	0.8	False
log-spl3-nullind	11	Risky first	1	vertex	0.6842105263157895	0.6226315789473683	0.42105263157894735	0.7894736842105263	True
log-spl3-nullind	11	Risky first	2	ips	0.7	0.6004999999999999	0.4	0.8	True
log-spl3-nullind	11	Risky first	2	vertex	0.7	0.59875	0.4	0.8	True
log-spl3-nullind	11	Risky second	0	ips	0.5	0.47174999999999995	0.3	0.7	True
log-spl3-nullind	11	Risky second	0	vertex	0.47368421052631576	0.4519736842105263	0.2631578947368421	0.6842105263157895	True
log-spl3-nullind	11	Risky second	1	ips	0.55	0.590125	0.4	0.75	True
log-spl3-nullind	11	Risky second	1	vertex	0.65	0.589	0.4	0.8	True
log-spl3-nullind	11	Risky second	2	ips	0.6	0.62775	0.4	0.8	True
log-spl3-nullind	11	Risky second	2	vertex	0.55	0.6185	0.4	0.8	True
log-spl3-nullind	18	Risky first	0	ips	0.3	0.340125	0.15	0.55	True
log-spl3-nullind	18	Risky first	0	vertex	0.21052631578947367	0.3275	0.10526315789473684	0.5789473684210527	True
log-spl3-nullind	18	Risky first	1	ips	0.55	0.55025	0.34875000000000006	0.75	True
log-spl3-nullind	18	Risky first	1	vertex	0.7619047619047619	0.5448809523809524	0.3333333333333333	0.7619047619047619	True
log-spl3-nullind	18	Risky first	2	ips	0.6842105263157895	0.7371052631578948	0.525	0.9473684210526315	True
log-spl3-nullind	18	Risky first	2	vertex	0.75	0.7354999999999999	0.5	0.95	True
log-spl3-nullind	18	Risky second	0	ips	0.4	0.364625	0.15	0.6	True
log-spl3-nullind	18	Risky second	0	vertex	0.25	0.36575	0.15	0.6	True
log-spl3-nullind	18	Risky second	1	ips	0.9411764705882353	0.6882352941176471	0.4117647058823529	0.9411764705882353	True
log-spl3-nullind	18	Risky second	1	vertex	0.75	0.681125	0.4	0.9	True
log-spl3-nullind	18	Risky second	2	ips	0.7368421052631579	0.8325	0.631578947368421	1.0	True
log-spl3-nullind	18	Risky second	2	vertex	0.8	0.832125	0.65	0.95	True
log-spl3-nullind	19	Risky first	0	ips	0.85	0.7388749999999998	0.5487500000000001	0.9012499999999989	True
log-spl3-nullind	19	Risky first	0	vertex	0.75	0.745125	0.5	0.95	True
log-spl3-nullind	19	Risky first	1	ips	0.4	0.41225	0.2	0.65	True
log-spl3-nullind	19	Risky first	1	vertex	0.3	0.41175000000000006	0.2	0.6	True
log-spl3-nullind	19	Risky first	2	ips	0.1	0.12575	0.0	0.3	True
log-spl3-nullind	19	Risky first	2	vertex	0.15789473684210525	0.12999999999999998	0.0	0.3157894736842105	True
log-spl3-nullind	19	Risky second	0	ips	0.8	0.74625	0.5	0.9	True
log-spl3-nullind	19	Risky second	0	vertex	0.65	0.75575	0.55	0.95	True
log-spl3-nullind	19	Risky second	1	ips	0.3157894736842105	0.5607894736842105	0.36710526315789477	0.7894736842105263	False
log-spl3-nullind	19	Risky second	1	vertex	0.75	0.539375	0.34875000000000006	0.75	True
log-spl3-nullind	19	Risky second	2	ips	0.23809523809523808	0.2523809523809523	0.047619047619047616	0.4297619047619037	True
log-spl3-nullind	19	Risky second	2	vertex	0.3	0.252625	0.05	0.45	True
log-spl3-nullind	21	Risky first	0	ips	0.5454545454545454	0.42136363636363633	0.22727272727272727	0.5909090909090909	True
log-spl3-nullind	21	Risky first	0	vertex	0.3333333333333333	0.42388888888888887	0.2222222222222222	0.6666666666666666	True
log-spl3-nullind	21	Risky first	1	ips	0.4	0.4375	0.3	0.6	True
log-spl3-nullind	21	Risky first	1	vertex	0.35	0.44299999999999995	0.3	0.6	True
log-spl3-nullind	21	Risky first	2	ips	0.5	0.45291666666666663	0.2222222222222222	0.6666666666666666	True
log-spl3-nullind	21	Risky first	2	vertex	0.45454545454545453	0.435	0.2727272727272727	0.5920454545454535	True
log-spl3-nullind	21	Risky second	0	ips	0.6363636363636364	0.4575	0.2727272727272727	0.6363636363636364	True
log-spl3-nullind	21	Risky second	0	vertex	0.3333333333333333	0.44791666666666674	0.2222222222222222	0.6666666666666666	True
log-spl3-nullind	21	Risky second	1	ips	0.45	0.546875	0.35	0.75	True
log-spl3-nullind	21	Risky second	1	vertex	0.6	0.5722499999999999	0.4	0.7512499999999989	True
log-spl3-nullind	21	Risky second	2	ips	0.5	0.4934722222222223	0.2222222222222222	0.7236111111111099	True
log-spl3-nullind	21	Risky second	2	vertex	0.45454545454545453	0.4757954545454545	0.2727272727272727	0.6818181818181818	True
log-spl3-nullind	25	Risky first	0	ips	0.2	0.36987499999999995	0.15	0.6	True
log-spl3-nullind	25	Risky first	0	vertex	0.45	0.38049999999999995	0.15	0.65	True
log-spl3-nullind	25	Risky first	1	ips	0.3333333333333333	0.5338888888888889	0.2777777777777778	0.7777777777777778	True
log-spl3-nullind	25	Risky first	1	vertex	0.6666666666666666	0.5678571428571428	0.3333333333333333	0.8095238095238095	True
log-spl3-nullind	25	Risky first	2	ips	0.8	0.76875	0.55	0.95	True
log-spl3-nullind	25	Risky first	2	vertex	0.8421052631578947	0.7607894736842106	0.5263157894736842	0.9473684210526315	True
log-spl3-nullind	25	Risky second	0	ips	0.7	0.55525	0.3	0.7512499999999989	True
log-spl3-nullind	25	Risky second	0	vertex	0.5	0.554625	0.3	0.8	True
log-spl3-nullind	25	Risky second	1	ips	0.85	0.7538750000000001	0.5487500000000001	0.95	True
log-spl3-nullind	25	Risky second	1	vertex	0.7	0.76125	0.55	0.95	True
log-spl3-nullind	25	Risky second	2	ips	0.9	0.8654999999999999	0.7	1.0	True
