label	subject	order	stake_bin	stim	observed	model	lo	hi	covered
log-spl5-n1n2.klw	1	Risky first	0	ips	0.55	0.550875	0.3	0.75	True
log-spl5-n1n2.klw	1	Risky first	0	vertex	0.6	0.5715	0.35	0.8	True
log-spl5-n1n2.klw	1	Risky first	1	ips	0.6	0.5451250000000001	0.3	0.75	True
log-spl5-n1n2.klw	1	Risky first	1	vertex	0.25	0.443125	0.2	0.7	True
log-spl5-n1n2.klw	1	Risky first	2	ips	0.6	0.5895	0.35	0.8	True
log-spl5-n1n2.klw	1	Risky first	2	vertex	0.65	0.54625	0.3	0.8	True
log-spl5-n1n2.klw	1	Risky second	0	ips	0.7	0.5875	0.3987500000000001	0.8	True
log-spl5-n1n2.klw	1	Risky second	0	vertex	0.4	0.575875	0.35	0.7512499999999989	True
log-spl5-n1n2.klw	1	Risky second	1	ips	0.65	0.611875	0.4	0.8	True
log-spl5-n1n2.klw	1	Risky second	1	vertex	0.5789473684210527	0.6117105263157895	0.3684210526315789	0.8421052631578947	True
log-spl5-n1n2.klw	1	Risky second	2	ips	0.65	0.61375	0.35	0.85	True
log-spl5-n1n2.klw	1	Risky second	2	vertex	0.7	0.6566249999999999	0.4	0.85	True
log-spl5-n1n2.klw	2	Risky first	0	ips	0.3157894736842105	0.4826315789473684	0.21052631578947367	0.7368421052631579	True
log-spl5-n1n2.klw	2	Risky first	0	vertex	0.5	0.5418055555555555	0.3333333333333333	0.7777777777777778	True
log-spl5-n1n2.klw	2	Risky first	1	ips	0.5238095238095238	0.580595238095238	0.38095238095238093	0.7619047619047619	True
log-spl5-n1n2.klw	2	Risky first	1	vertex	0.7058823529411765	0.5229411764705882	0.29411764705882354	0.7058823529411765	True
log-spl5-n1n2.klw	2	Risky first	2	ips	0.65	0.636375	0.4	0.85	True
log-spl5-n1n2.klw	2	Risky first	2	vertex	0.6842105263157895	0.7110526315789473	0.47368421052631576	0.8947368421052632	True
log-spl5-n1n2.klw	2	Risky second	0	ips	0.95	0.606125	0.4	0.8	False
log-spl5-n1n2.klw	2	Risky second	0	vertex	0.6190476190476191	0.5860714285714286	0.38095238095238093	0.8095238095238095	True
log-spl5-n1n2.klw	2	Risky second	1	ips	0.7	0.6609999999999999	0.45	0.85	True
log-spl5-n1n2.klw	2	Risky second	1	vertex	0.42105263157894735	0.5080263157894737	0.2631578947368421	0.6842105263157895	True
log-spl5-n1n2.klw	2	Risky second	2	ips	0.6	0.6246250000000001	0.4	0.8	True
log-spl5-n1n2.klw	2	Risky second	2	vertex	0.6666666666666666	0.658888888888889	0.4444444444444444	0.8888888888888888	True
log-spl5-n1n2.klw	3	Risky first	0	ips	0.75	0.6338750000000001	0.4	0.85	True
log-spl5-n1n2.klw	3	Risky first	0	vertex	0.7	0.6327499999999999	0.4	0.8	True
log-spl5-n1n2.klw	3	Risky first	1	ips	0.5	0.602375	0.35	0.8	True
log-spl5-n1n2.klw	3	Risky first	1	vertex	0.6	0.61625	0.45	0.8	True
log-spl5-n1n2.klw	3	Risky first	2	ips	0.7	0.631875	0.4	0.85	True
log-spl5-n1n2.klw	3	Risky first	2	vertex	0.7	0.6677500000000001	0.45	0.85	True
log-spl5-n1n2.klw	3	Risky second	0	ips	0.5	0.5021249999999999	0.29875000000000007	0.75	True
log-spl5-n1n2.klw	3	Risky second	0	vertex	0.3	0.451375	0.24875000000000008	0.65	True
log-spl5-n1n2.klw	3	Risky second	1	ips	0.65	0.5915	0.35	0.8	True
log-spl5-n1n2.klw	3	Risky second	1	vertex	0.55	0.58275	0.3987500000000001	0.8	True
log-spl5-n1n2.klw	3	Risky second	2	ips	0.75	0.664	0.45	0.9	True
log-spl5-n1n2.klw	3	Risky second	2	vertex	0.7	0.654375	0.4487500000000001	0.9	True
log-spl5-n1n2.klw	4	Risky first	0	ips	0.4	0.490875	0.3	0.75	True
log-spl5-n1n2.klw	4	Risky first	0	vertex	0.6111111111111112	0.47611111111111115	0.2222222222222222	0.7222222222222222	True
log-spl5-n1n2.klw	4	Risky first	1	ips	0.4	0.40975	0.2	0.6	True
log-spl5-n1n2.klw	4	Risky first	1	vertex	0.3157894736842105	0.384078947368421	0.15789473684210525	0.631578947368421	True
log-spl5-n1n2.klw	4	Risky first	2	ips	0.1	0.24837499999999998	0.05	0.45	True
log-spl5-n1n2.klw	4	Risky first	2	vertex	0.2222222222222222	0.26625	0.05555555555555555	0.5	True
log-spl5-n1n2.klw	4	Risky second	0	ips	0.42857142857142855	0.5136904761904763	0.2857142857142857	0.7142857142857143	True
