label	subject	order	stake_bin	stim	observed	model	lo	hi	covered
log-weber-n1n2.klw	1	Risky first	0	ips	0.55	0.588625	0.3987500000000001	0.8	True
log-weber-n1n2.klw	1	Risky first	0	vertex	0.6	0.5628749999999999	0.35	0.7512499999999989	True
log-weber-n1n2.klw	1	Risky first	1	ips	0.6	0.5934999999999999	0.35	0.8	True
log-weber-n1n2.klw	1	Risky first	1	vertex	0.25	0.549	0.35	0.75	False
log-weber-n1n2.klw	1	Risky first	2	ips	0.6	0.59875	0.35	0.8	True
log-weber-n1n2.klw	1	Risky first	2	vertex	0.65	0.531375	0.25	0.7512499999999989	True
log-weber-n1n2.klw	1	Risky second	0	ips	0.7	0.568875	0.35	0.75	True
log-weber-n1n2.klw	1	Risky second	0	vertex	0.4	0.54925	0.3	0.8	True
log-weber-n1n2.klw	1	Risky second	1	ips	0.65	0.6132500000000001	0.4	0.8	True
log-weber-n1n2.klw	1	Risky second	1	vertex	0.5789473684210527	0.5693421052631579	0.3684210526315789	0.7894736842105263	True
log-weber-n1n2.klw	1	Risky second	2	ips	0.65	0.668125	0.45	0.85	True
log-weber-n1n2.klw	1	Risky second	2	vertex	0.7	0.6355000000000001	0.4	0.85	True
log-weber-n1n2.klw	2	Risky first	0	ips	0.3157894736842105	0.42276315789473684	0.20921052631578954	0.6842105263157895	True
log-weber-n1n2.klw	2	Risky first	0	vertex	0.5	0.5647222222222222	0.3333333333333333	0.7791666666666655	True
log-weber-n1n2.klw	2	Risky first	1	ips	0.5238095238095238	0.5679761904761905	0.38095238095238093	0.7619047619047619	True
log-weber-n1n2.klw	2	Risky first	1	vertex	0.7058823529411765	0.5570588235294118	0.35294117647058826	0.7647058823529411	True
log-weber-n1n2.klw	2	Risky first	2	ips	0.65	0.631625	0.4	0.85	True
log-weber-n1n2.klw	2	Risky first	2	vertex	0.6842105263157895	0.6571052631578947	0.42105263157894735	0.8421052631578947	True
log-weber-n1n2.klw	2	Risky second	0	ips	0.95	0.6552500000000001	0.45	0.85	False
log-weber-n1n2.klw	2	Risky second	0	vertex	0.6190476190476191	0.6095238095238095	0.38095238095238093	0.8095238095238095	True
log-weber-n1n2.klw	2	Risky second	1	ips	0.7	0.6541250000000001	0.4987500000000001	0.85	True
log-weber-n1n2.klw	2	Risky second	1	vertex	0.42105263157894735	0.539342105263158	0.36710526315789477	0.7368421052631579	True
log-weber-n1n2.klw	2	Risky second	2	ips	0.6	0.5990000000000001	0.4	0.8	True
log-weber-n1n2.klw	2	Risky second	2	vertex	0.6666666666666666	0.6541666666666667	0.4430555555555556	0.8888888888888888	True
log-weber-n1n2.klw	3	Risky first	0	ips	0.75	0.6211249999999999	0.3987500000000001	0.85	True
log-weber-n1n2.klw	3	Risky first	0	vertex	0.7	0.628375	0.45	0.85	True
log-weber-n1n2.klw	3	Risky first	1	ips	0.5	0.620125	0.4	0.8	True
log-weber-n1n2.klw	3	Risky first	1	vertex	0.6	0.625625	0.45	0.8012499999999989	True
log-weber-n1n2.klw	3	Risky first	2	ips	0.7	0.6375000000000001	0.4487500000000001	0.85	True
log-weber-n1n2.klw	3	Risky first	2	vertex	0.7	0.6545000000000001	0.45	0.8	True
log-weber-n1n2.klw	3	Risky second	0	ips	0.5	0.5033749999999999	0.25	0.75	True
log-weber-n1n2.klw	3	Risky second	0	vertex	0.3	0.4952500000000001	0.25	0.7	True
log-weber-n1n2.klw	3	Risky second	1	ips	0.65	0.5926250000000001	0.4	0.8	True
log-weber-n1n2.klw	3	Risky second	1	vertex	0.55	0.5828749999999999	0.4	0.75	True
log-weber-n1n2.klw	3	Risky second	2	ips	0.75	0.675375	0.45	0.85	True
log-weber-n1n2.klw	3	Risky second	2	vertex	0.7	0.689375	0.5	0.9	True
log-weber-n1n2.klw	4	Risky first	0	ips	0.4	0.5171250000000001	0.3	0.75	True
log-weber-n1n2.klw	4	Risky first	0	vertex	0.6111111111111112	0.49375	0.27638888888888896	0.7222222222222222	True
log-weber-n1n2.klw	4	Risky first	1	ips	0.4	0.3883750000000001	0.1987500000000001	0.6	True
log-weber-n1n2.klw	4	Risky first	1	vertex	0.3157894736842105	0.3725	0.15789473684210525	0.5789473684210527	True
log-weber-n1n2.klw	4	Risky first	2	ips	0.1	0.26012500000000005	0.05	0.45	True
log-weber-n1n2.klw	4	Risky first	2	vertex	0.2222222222222222	0.27138888888888885	0.05555555555555555	0.5	True
log-weber-n1n2.klw	4	Risky second	0	ips	0.42857142857142855	0.4994047619047619	0.2857142857142857	0.7142857142857143	True
log-weber-n1n2.klw	4	Risky second	0	vertex	0.47368421052631576	0.5090789473684211	0.2631578947368421	0.7368421052631579	True
log-weber-n1n2.klw	4	Risky second	1	ips	0.631578947368421	0.5577631578947368	0.3684210526315789	0.7894736842105263	True
log-weber-n1n2.klw	4	Risky second	1	vertex	0.6	0.5722499999999999	0.4	0.75	True
log-weber-n1n2.klw	4	Risky second	2	ips	0.55	0.570875	0.3	0.8	True
log-weber-n1n2.klw	4	Risky second	2	vertex	0.65	0.6046250000000001	0.4	0.85	True
log-weber-n1n2.klw	5	Risky first	0	ips	0.95	0.872875	0.7	1.0	True
log-weber-n1n2.klw	5	Risky first	0	vertex	1.0	0.869375	0.65	1.0	True
log-weber-n1n2.klw	5	Risky first	1	ips	0.8	0.781375	0.6	0.95	True
log-weber-n1n2.klw	5	Risky first	1	vertex	0.8	0.7635000000000001	0.55	0.95	True
log-weber-n1n2.klw	5	Risky first	2	ips	0.75	0.6994999999999999	0.4987500000000001	0.85	True
log-weber-n1n2.klw	5	Risky first	2	vertex	0.75	0.6473749999999999	0.4487500000000001	0.85	True
log-weber-n1n2.klw	5	Risky second	0	ips	0.6	0.6971250000000001	0.5	0.9	True
log-weber-n1n2.klw	5	Risky second	0	vertex	0.75	0.6459999999999999	0.3987500000000001	0.85	True
log-weber-n1n2.klw	5	Risky second	1	ips	0.85	0.744375	0.5487500000000001	0.9	True
