label	subject	order	stake_bin	stim	observed	model	lo	hi	covered
log-weber-n1n2psd	1	Risky first	0	ips	0.55	0.5952500000000001	0.35	0.8	True
log-weber-n1n2psd	1	Risky first	0	vertex	0.6	0.559125	0.35	0.8	True
log-weber-n1n2psd	1	Risky first	1	ips	0.6	0.59575	0.4	0.8	True
log-weber-n1n2psd	1	Risky first	1	vertex	0.25	0.542875	0.35	0.75	False
log-weber-n1n2psd	1	Risky first	2	ips	0.6	0.6045	0.35	0.8012499999999989	True
log-weber-n1n2psd	1	Risky first	2	vertex	0.65	0.524625	0.25	0.8	True
log-weber-n1n2psd	1	Risky second	0	ips	0.7	0.571625	0.35	0.75	True
log-weber-n1n2psd	1	Risky second	0	vertex	0.4	0.5415	0.3	0.7512499999999989	True
log-weber-n1n2psd	1	Risky second	1	ips	0.65	0.618375	0.4	0.8	True
log-weber-n1n2psd	1	Risky second	1	vertex	0.5789473684210527	0.5796052631578948	0.3684210526315789	0.7894736842105263	True
log-weber-n1n2psd	1	Risky second	2	ips	0.65	0.6767500000000001	0.45	0.9	True
log-weber-n1n2psd	1	Risky second	2	vertex	0.7	0.6623749999999998	0.45	0.85	True
log-weber-n1n2psd	2	Risky first	0	ips	0.3157894736842105	0.46131578947368423	0.21052631578947367	0.7368421052631579	True
log-weber-n1n2psd	2	Risky first	0	vertex	0.5	0.5495833333333333	0.3333333333333333	0.7777777777777778	True
log-weber-n1n2psd	2	Risky first	1	ips	0.5238095238095238	0.6029761904761906	0.38095238095238093	0.8095238095238095	True
log-weber-n1n2psd	2	Risky first	1	vertex	0.7058823529411765	0.5594117647058823	0.35294117647058826	0.7647058823529411	True
log-weber-n1n2psd	2	Risky first	2	ips	0.65	0.650625	0.45	0.85	True
log-weber-n1n2psd	2	Risky first	2	vertex	0.6842105263157895	0.6984210526315789	0.47368421052631576	0.8947368421052632	True
log-weber-n1n2psd	2	Risky second	0	ips	0.95	0.71625	0.5	0.9012499999999989	False
log-weber-n1n2psd	2	Risky second	0	vertex	0.6190476190476191	0.6169047619047618	0.38095238095238093	0.8571428571428571	True
log-weber-n1n2psd	2	Risky second	1	ips	0.7	0.683125	0.5	0.85	True
log-weber-n1n2psd	2	Risky second	1	vertex	0.42105263157894735	0.5489473684210526	0.3157894736842105	0.7368421052631579	True
log-weber-n1n2psd	2	Risky second	2	ips	0.6	0.6041249999999999	0.35	0.85	True
log-weber-n1n2psd	2	Risky second	2	vertex	0.6666666666666666	0.697361111111111	0.49861111111111117	0.8902777777777765	True
log-weber-n1n2psd	3	Risky first	0	ips	0.75	0.624375	0.4	0.85	True
log-weber-n1n2psd	3	Risky first	0	vertex	0.7	0.5926250000000001	0.4	0.8	True
log-weber-n1n2psd	3	Risky first	1	ips	0.5	0.62375	0.45	0.8	True
log-weber-n1n2psd	3	Risky first	1	vertex	0.6	0.620125	0.45	0.8	True
log-weber-n1n2psd	3	Risky first	2	ips	0.7	0.64725	0.45	0.85	True
log-weber-n1n2psd	3	Risky first	2	vertex	0.7	0.6805	0.5	0.85	True
log-weber-n1n2psd	3	Risky second	0	ips	0.5	0.508	0.3	0.75	True
log-weber-n1n2psd	3	Risky second	0	vertex	0.3	0.49424999999999997	0.25	0.7	True
log-weber-n1n2psd	3	Risky second	1	ips	0.65	0.601375	0.4487500000000001	0.8	True
log-weber-n1n2psd	3	Risky second	1	vertex	0.55	0.5920000000000001	0.4	0.75	True
log-weber-n1n2psd	3	Risky second	2	ips	0.75	0.6969999999999998	0.5	0.9	True
log-weber-n1n2psd	3	Risky second	2	vertex	0.7	0.71	0.5	0.9	True
log-weber-n1n2psd	4	Risky first	0	ips	0.4	0.518375	0.3	0.75	True
log-weber-n1n2psd	4	Risky first	0	vertex	0.6111111111111112	0.5009722222222223	0.2777777777777778	0.7777777777777778	True
log-weber-n1n2psd	4	Risky first	1	ips	0.4	0.344875	0.15	0.55	True
log-weber-n1n2psd	4	Risky first	1	vertex	0.3157894736842105	0.3405263157894736	0.15789473684210525	0.5789473684210527	True
log-weber-n1n2psd	4	Risky first	2	ips	0.1	0.18012499999999998	0.0	0.4	True
log-weber-n1n2psd	4	Risky first	2	vertex	0.2222222222222222	0.21458333333333335	0.054166666666666745	0.4444444444444444	True
log-weber-n1n2psd	4	Risky second	0	ips	0.42857142857142855	0.48904761904761895	0.23809523809523808	0.7142857142857143	True
log-weber-n1n2psd	4	Risky second	0	vertex	0.47368421052631576	0.5027631578947368	0.2631578947368421	0.7368421052631579	True
log-weber-n1n2psd	4	Risky second	1	ips	0.631578947368421	0.5503947368421052	0.3684210526315789	0.7368421052631579	True
log-weber-n1n2psd	4	Risky second	1	vertex	0.6	0.590125	0.4	0.8	True
log-weber-n1n2psd	4	Risky second	2	ips	0.55	0.547875	0.3	0.75	True
log-weber-n1n2psd	4	Risky second	2	vertex	0.65	0.638625	0.45	0.85	True
log-weber-n1n2psd	5	Risky first	0	ips	0.95	0.9029999999999998	0.75	1.0	True
log-weber-n1n2psd	5	Risky first	0	vertex	1.0	0.94625	0.8	1.0	True
log-weber-n1n2psd	5	Risky first	1	ips	0.8	0.828	0.65	0.95	True
log-weber-n1n2psd	5	Risky first	1	vertex	0.8	0.8341249999999999	0.65	1.0	True
log-weber-n1n2psd	5	Risky first	2	ips	0.75	0.758625	0.55	0.9	True
log-weber-n1n2psd	5	Risky first	2	vertex	0.75	0.681125	0.45	0.9	True
log-weber-n1n2psd	5	Risky second	0	ips	0.6	0.684	0.45	0.9	True
log-weber-n1n2psd	5	Risky second	0	vertex	0.75	0.6983750000000001	0.45	0.9	True
log-weber-n1n2psd	5	Risky second	1	ips	0.85	0.7551249999999999	0.55	0.95	True
log-weber-n1n2psd	5	Risky second	1	vertex	0.55	0.7433749999999999	0.55	0.95	True
log-weber-n1n2psd	5	Risky second	2	ips	0.85	0.8183750000000001	0.65	0.9512499999999988	True
log-weber-n1n2psd	5	Risky second	2	vertex	0.75	0.7978749999999999	0.6	0.95	True
log-weber-n1n2psd	6	Risky first	0	ips	0.4	0.371125	0.2	0.55	True
log-weber-n1n2psd	6	Risky first	0	vertex	0.2	0.349875	0.15	0.55	True
log-weber-n1n2psd	6	Risky first	1	ips	0.45	0.37024999999999997	0.2	0.5012499999999989	True
log-weber-n1n2psd	6	Risky first	1	vertex	0.4	0.305625	0.15	0.5	True
log-weber-n1n2psd	6	Risky first	2	ips	0.15	0.225	0.05	0.4	True
log-weber-n1n2psd	6	Risky first	2	vertex	0.1	0.132625	0.0	0.3	True
log-weber-n1n2psd	6	Risky second	0	ips	0.5	0.3822499999999999	0.2	0.5512499999999989	True
log-weber-n1n2psd	6	Risky second	0	vertex	0.3	0.384375	0.2	0.55	True
log-weber-n1n2psd	6	Risky second	1	ips	0.5	0.507625	0.35	0.6512499999999989	True
log-weber-n1n2psd	6	Risky second	1	vertex	0.65	0.49537500000000007	0.35	0.6512499999999989	True
log-weber-n1n2psd	6	Risky second	2	ips	0.5	0.527625	0.3	0.7	True
log-weber-n1n2psd	6	Risky second	2	vertex	0.45	0.51525	0.35	0.7	True
log-weber-n1n2psd	7	Risky first	0	ips	0.7368421052631579	0.6147368421052631	0.3684210526315789	0.8421052631578947	True
log-weber-n1n2psd	7	Risky first	0	vertex	0.47368421052631576	0.5860526315789474	0.3157894736842105	0.8421052631578947	True
log-weber-n1n2psd	7	Risky first	1	ips	0.5789473684210527	0.6846052631578948	0.47368421052631576	0.8947368421052632	True
log-weber-n1n2psd	7	Risky first	1	vertex	0.75	0.659375	0.4987500000000001	0.85	True
log-weber-n1n2psd	7	Risky first	2	ips	0.7	0.7178749999999999	0.45	0.95	True
log-weber-n1n2psd	7	Risky first	2	vertex	0.8	0.7615000000000001	0.55	0.95	True
log-weber-n1n2psd	7	Risky second	0	ips	0.6666666666666666	0.6629761904761904	0.42857142857142855	0.9047619047619048	True
log-weber-n1n2psd	7	Risky second	0	vertex	0.7	0.635375	0.4	0.85	True
log-weber-n1n2psd	7	Risky second	1	ips	0.7894736842105263	0.6757894736842105	0.47368421052631576	0.8947368421052632	True
log-weber-n1n2psd	7	Risky second	1	vertex	0.65	0.643625	0.45	0.85	True
log-weber-n1n2psd	7	Risky second	2	ips	0.631578947368421	0.6860526315789474	0.42105263157894735	0.8947368421052632	True
log-weber-n1n2psd	7	Risky second	2	vertex	0.7	0.698125	0.45	0.9	True
log-weber-n1n2psd	9	Risky first	0	ips	0.7	0.62525	0.4	0.85	True
log-weber-n1n2psd	9	Risky first	0	vertex	0.5	0.5353749999999999	0.3	0.75	True
log-weber-n1n2psd	9	Risky first	1	ips	0.25	0.28	0.1	0.5	True
log-weber-n1n2psd	9	Risky first	1	vertex	0.05	0.09125	0.0	0.25	True
log-weber-n1n2psd	9	Risky first	2	ips	0.0	0.0405	0.0	0.15	True
log-weber-n1n2psd	9	Risky first	2	vertex	0.0	0.0007500000000000001	0.0	0.0	True
log-weber-n1n2psd	9	Risky second	0	ips	0.75	0.750625	0.55	0.9	True
log-weber-n1n2psd	9	Risky second	0	vertex	0.8	0.624	0.4	0.8	True
log-weber-n1n2psd	9	Risky second	1	ips	0.5	0.6015	0.4	0.8	True
log-weber-n1n2psd	9	Risky second	1	vertex	0.15	0.220125	0.05	0.4	True
log-weber-n1n2psd	9	Risky second	2	ips	0.55	0.45262500000000006	0.2	0.7	True
log-weber-n1n2psd	9	Risky second	2	vertex	0.0	0.01775	0.0	0.1	True
log-weber-n1n2psd	10	Risky first	0	ips	0.95	0.91675	0.75	1.0	True
log-weber-n1n2psd	10	Risky first	0	vertex	0.8	0.822375	0.6	1.0	True
log-weber-n1n2psd	10	Risky first	1	ips	0.85	0.77875	0.6	0.95	True
log-weber-n1n2psd	10	Risky first	1	vertex	0.8	0.7350000000000001	0.5	0.9	True
log-weber-n1n2psd	10	Risky first	2	ips	0.55	0.620125	0.35	0.85	True
log-weber-n1n2psd	10	Risky first	2	vertex	0.65	0.666125	0.45	0.85	True
log-weber-n1n2psd	10	Risky second	0	ips	0.7	0.72375	0.5	0.95	True
log-weber-n1n2psd	10	Risky second	0	vertex	0.4	0.4922500000000001	0.2	0.75	True
log-weber-n1n2psd	10	Risky second	1	ips	0.8	0.7326250000000001	0.55	0.9	True
log-weber-n1n2psd	10	Risky second	1	vertex	0.65	0.6925	0.45	0.9	True
log-weber-n1n2psd	10	Risky second	2	ips	0.65	0.741625	0.5487500000000001	0.95	True
log-weber-n1n2psd	10	Risky second	2	vertex	1.0	0.842125	0.65	1.0	True
log-weber-n1n2psd	11	Risky first	0	ips	0.6	0.53625	0.3	0.75	True
log-weber-n1n2psd	11	Risky first	0	vertex	0.6666666666666666	0.5994047619047619	0.3333333333333333	0.8571428571428571	True
log-weber-n1n2psd	11	Risky first	1	ips	0.4	0.5735	0.4	0.75	True
log-weber-n1n2psd	11	Risky first	1	vertex	0.6842105263157895	0.6393421052631578	0.4723684210526316	0.7894736842105263	True
log-weber-n1n2psd	11	Risky first	2	ips	0.7	0.595375	0.4	0.8	True
log-weber-n1n2psd	11	Risky first	2	vertex	0.7	0.621375	0.4	0.8	True
log-weber-n1n2psd	11	Risky second	0	ips	0.5	0.4653750000000001	0.25	0.65	True
