order	bin	stim	mean	lo	hi	frac	observed	observed_sem
Risky first	20%	ips	0.2813939703153989	0.22910482374768087	0.3295329313543599	1.5665678719620628	0.2584724799010513	0.036567045304318806
Risky first	20%	vertex	0.274047052154195	0.2359977324263038	0.3134852607709751	1.5665678719620628	0.2836734693877551	0.041133372494283886
Risky first	32%	ips	0.3763343668236525	0.32516639907711337	0.4315961003282432	1.7917489421720731	0.3686784643927501	0.03642217926503582
Risky first	32%	vertex	0.3689987373737374	0.3162286126571841	0.41696389919604204	1.7917489421720731	0.354472273757988	0.035641642081146646
Risky first	44%	ips	0.5000446248196248	0.44582467532467535	0.5510889249639249	2.073052865213882	0.5121933621933622	0.03579653297619387
Risky first	44%	vertex	0.5001781024531025	0.44800468975468977	0.5503223304473305	2.073052865213882	0.46737373737373733	0.04396740572766986
Risky first	56%	ips	0.5999549603174603	0.5493333333333333	0.6535128968253969	2.4073398299813396	0.61	0.038936578735248216
Risky first	56%	vertex	0.5962150793650793	0.5479355158730159	0.6441269841269841	2.4073398299813396	0.5798015873015873	0.04537523747575878
Risky first	68%	ips	0.7039062791783379	0.6511633403361344	0.7499973739495799	2.725272161741835	0.7213935574229692	0.040313220872796485
Risky first	68%	vertex	0.7007573529411765	0.6582883986928104	0.7428941993464053	2.725272161741835	0.7172385620915033	0.03806850840115315
Risky first	80%	ips	0.7748297619047619	0.731736111111111	0.8202460317460317	3.1846923879040663	0.7862698412698413	0.03232222778649627
Risky first	80%	vertex	0.7688499999999999	0.7333075396825397	0.8127460317460319	3.1846923879040663	0.7965079365079365	0.03339170559287082
Risky second	20%	ips	0.3568500927643785	0.30303246753246754	0.40722634508348793	1.5660812943962115	0.3364378478664193	0.03826142357915323
Risky second	20%	vertex	0.28678197278911566	0.24008372579801154	0.32369531658817374	1.5660812943962115	0.2806698063840921	0.03961877840403598
Risky second	32%	ips	0.4642280453673311	0.41232064562421705	0.5212550842015128	1.7942493946731235	0.48956154956154957	0.043604041586397545
Risky second	32%	vertex	0.3944619614512472	0.34275793650793646	0.4494124149659864	1.7942493946731235	0.3544671201814059	0.03531455769956919
Risky second	44%	ips	0.5965655844155845	0.5481453823953825	0.6507862554112555	2.069324784612302	0.5996536796536797	0.04155058653802237
Risky second	44%	vertex	0.5373457108680794	0.4890312143996355	0.5876157439052176	2.069324784612302	0.5420596946912736	0.0368859701710249
Risky second	56%	ips	0.6866843253968254	0.6396061507936507	0.735204365079365	2.407020408163265	0.6647222222222222	0.03658367974968331
Risky second	56%	vertex	0.6429699855699856	0.5932799422799423	0.6881378066378065	2.407020408163265	0.6701443001443002	0.039312021683299676
Risky second	68%	ips	0.7838086325439266	0.7476154401154401	0.8272636554621849	2.733065057008719	0.7888167388167389	0.034928820775869736
Risky second	68%	vertex	0.7495808823529413	0.7115665849673203	0.7962214052287583	2.733065057008719	0.7550653594771242	0.03306912991990606
Risky second	80%	ips	0.8363388888888889	0.8015634920634921	0.8711666666666668	3.1878139151914366	0.8418253968253968	0.02722916288954559
Risky second	80%	vertex	0.8078892857142858	0.7657142857142857	0.8457857142857144	3.1878139151914366	0.8135714285714286	0.02718097721217697
