order	bin	stim	mean	lo	hi	frac	observed	observed_sem
Risky first	20%	ips	0.28975297838464414	0.26681626143026316	0.3089337359683096	1.5665678719620628	0.2584724799010513	0.036567045304318806
Risky first	20%	vertex	0.300186924836797	0.28206036448030986	0.31738532959892896	1.5665678719620628	0.2836734693877551	0.041133372494283886
Risky first	32%	ips	0.37463809465427034	0.35318055006274857	0.39330779914086794	1.7917489421720731	0.3686784643927501	0.03642217926503582
Risky first	32%	vertex	0.3853190679684487	0.3689499171051837	0.4007028899475515	1.7917489421720731	0.354472273757988	0.035641642081146646
Risky first	44%	ips	0.496094460746845	0.4800369230974293	0.5120949466153102	2.073052865213882	0.5121933621933622	0.03579653297619387
Risky first	44%	vertex	0.5007445390665966	0.48747706595729906	0.5139350035580105	2.073052865213882	0.46737373737373733	0.04396740572766986
Risky first	56%	ips	0.5955427365102668	0.5795924273822995	0.6120863172623249	2.4073398299813396	0.61	0.038936578735248216
Risky first	56%	vertex	0.595897736765948	0.5823856080712768	0.6095420140058353	2.4073398299813396	0.5798015873015873	0.04537523747575878
Risky first	68%	ips	0.6987111111187599	0.6817764428526988	0.7167690096989698	2.725272161741835	0.7213935574229692	0.040313220872796485
Risky first	68%	vertex	0.6949562885747165	0.6785661903170326	0.7105418251421544	2.725272161741835	0.7172385620915033	0.03806850840115315
Risky first	80%	ips	0.7690793978565611	0.7510813997950586	0.7874067781673995	3.1846923879040663	0.7862698412698413	0.03232222778649627
Risky first	80%	vertex	0.7676229644586304	0.751092857478664	0.7848270202152305	3.1846923879040663	0.7965079365079365	0.03339170559287082
Risky second	20%	ips	0.3014463796054857	0.2811763434992938	0.31864582715906453	1.5660812943962115	0.3364378478664193	0.03826142357915323
Risky second	20%	vertex	0.31053316472409875	0.2939289434068296	0.32852495498665407	1.5660812943962115	0.2806698063840921	0.03961877840403598
Risky second	32%	ips	0.4077820255060407	0.39087072211775836	0.4234832882937229	1.7942493946731235	0.48956154956154957	0.043604041586397545
Risky second	32%	vertex	0.4133741840329547	0.39617511922816795	0.42970685279922444	1.7942493946731235	0.3544671201814059	0.03531455769956919
Risky second	44%	ips	0.5523843773720793	0.5381344335184836	0.5671046008370683	2.069324784612302	0.5996536796536797	0.04155058653802237
Risky second	44%	vertex	0.5535725506912942	0.5389230897254466	0.5686890165400962	2.069324784612302	0.5420596946912736	0.0368859701710249
Risky second	56%	ips	0.6676550623125541	0.6516148504196922	0.6839663334228374	2.407020408163265	0.6647222222222222	0.03658367974968331
Risky second	56%	vertex	0.6612179274569016	0.6406321910696565	0.6773422676665454	2.407020408163265	0.6701443001443002	0.039312021683299676
Risky second	68%	ips	0.7839690874644731	0.7680916978753026	0.8006920398159976	2.733065057008719	0.7888167388167389	0.034928820775869736
Risky second	68%	vertex	0.772547758929885	0.7527749926019262	0.789485737252485	2.733065057008719	0.7550653594771242	0.03306912991990606
Risky second	80%	ips	0.8482767685618542	0.8319726746584424	0.8653039989451662	3.1878139151914366	0.8418253968253968	0.02722916288954559
Risky second	80%	vertex	0.8393069363331214	0.8209153951125446	0.8548941799368178	3.1878139151914366	0.8135714285714286	0.02718097721217697
