label	subject	order	stake2	stimulation_condition	parameter	median	lo	hi
log-power-n1n2	1	Risky first	0	ips	slope	3.3580170248251173	2.3726910444558076	4.439568893635291
log-power-n1n2	2	Risky first	0	ips	slope	1.719348452819959	1.1708488821321343	2.351234805490369
log-power-n1n2	3	Risky first	0	ips	slope	4.0301414916239615	2.9218712990240303	5.417033220383997
log-power-n1n2	4	Risky first	0	ips	slope	2.063720623756635	1.2520523186684405	2.9217867554537627
log-power-n1n2	5	Risky first	0	ips	slope	2.380919490764288	1.3487446759167154	3.4468912457148164
log-power-n1n2	6	Risky first	0	ips	slope	2.4416157033932553	1.6566432497759567	3.38414202245688
log-power-n1n2	7	Risky first	0	ips	slope	1.8021154519983453	1.0544946461255749	2.5935017130735383
log-power-n1n2	9	Risky first	0	ips	slope	2.755216851135967	1.350117242460461	4.445238915745234
log-power-n1n2	10	Risky first	0	ips	slope	2.235160639736896	1.2697920849497033	3.262133518912782
log-power-n1n2	11	Risky first	0	ips	slope	3.5603911247532976	2.686813862626865	4.64503195670666
log-power-n1n2	18	Risky first	0	ips	slope	3.5295343456710198	2.307473174989524	4.879311371177302
log-power-n1n2	19	Risky first	0	ips	slope	1.5239975724720698	0.6476631123848294	2.80069040844432
log-power-n1n2	21	Risky first	0	ips	slope	1.4743718544313706	0.9281203338759213	2.0469675012842092
log-power-n1n2	25	Risky first	0	ips	slope	4.039612334543683	2.912213930916166	5.357708076977611
log-power-n1n2	26	Risky first	0	ips	slope	3.069497274297344	2.2700228221217285	3.8920815074187747
log-power-n1n2	29	Risky first	0	ips	slope	1.945369817857656	1.1213473564711502	2.8075016905416574
log-power-n1n2	30	Risky first	0	ips	slope	2.44456967918253	1.4648095547773798	3.4959927272031073
log-power-n1n2	31	Risky first	0	ips	slope	2.9489987998957723	1.8640187506721897	4.057301160641616
log-power-n1n2	34	Risky first	0	ips	slope	2.206965467510736	1.318886344625977	3.307057380767087
log-power-n1n2	35	Risky first	0	ips	slope	2.8950537120481474	2.0274813813297112	4.0871333198996975
log-power-n1n2	36	Risky first	0	ips	slope	2.944713197563499	2.0780467971006558	3.818125835881841
log-power-n1n2	37	Risky first	0	ips	slope	2.717979699945242	1.8338799359010378	3.6522424426832987
log-power-n1n2	45	Risky first	0	ips	slope	2.3463101005084006	1.441824118673115	3.3751998907035055
log-power-n1n2	46	Risky first	0	ips	slope	2.4671539087212286	1.709982936992001	3.2450299512415146
log-power-n1n2	47	Risky first	0	ips	slope	2.9382824598055857	2.2248057340253995	3.728288675470867
log-power-n1n2	50	Risky first	0	ips	slope	2.0214652164424147	0.8794592122005086	3.5911868918693477
log-power-n1n2	53	Risky first	0	ips	slope	2.2001414009117473	1.4336186474334702	3.021071454012225
log-power-n1n2	56	Risky first	0	ips	slope	2.3963275197940384	1.5274219773074458	3.3984107716907435
log-power-n1n2	59	Risky first	0	ips	slope	2.19075385190654	1.3939530958112587	3.1039198225144813
log-power-n1n2	62	Risky first	0	ips	slope	2.8115001504100015	1.8240900150748922	4.129862295117615
log-power-n1n2	63	Risky first	0	ips	slope	2.5247874128166616	1.5863426649102221	3.535845929018263
log-power-n1n2	67	Risky first	0	ips	slope	3.1492956327202135	2.18887934626557	4.2565965933579974
log-power-n1n2	69	Risky first	0	ips	slope	2.2260457875432795	1.2580685264282632	3.1890745662186406
log-power-n1n2	72	Risky first	0	ips	slope	3.3149549188429956	2.346500612492967	4.439681034683883
log-power-n1n2	74	Risky first	0	ips	slope	2.0383916211897275	1.3498460891411865	2.8228041015706697
log-power-n1n2	1	Risky first	0	ips	rnp	1.1170523433611934	1.0332245168258718	1.2196000706249706
log-power-n1n2	2	Risky first	0	ips	rnp	1.1467724536856534	0.9151322919273014	1.4668503986820003
log-power-n1n2	3	Risky first	0	ips	rnp	0.9388650614307061	0.8419897038991614	1.0105306957981603
log-power-n1n2	4	Risky first	0	ips	rnp	1.2260593366345323	1.0682644806069093	1.4524685971710039
log-power-n1n2	5	Risky first	0	ips	rnp	0.7039163502337213	0.3938509760234063	0.9087132086830532
