order	n_safe	stimulation_condition	n_trials	slope	slope_lo	slope_hi	rnp	rnp_lo	rnp_hi	intercept	intercept_lo	intercept_hi
Risky first	7.0	ips	416	3.4758651348567224	2.72004315982737	4.052309859815677	1.7973489858390548	1.0515676724639202	2.097290141297613	-1.9445899173490284	-2.475161275482863	-0.18539913724357282
Risky first	7.0	vertex	414	2.437248009007122	0.8806952286156486	3.826797096124737	1.703254186188796	0.7657495119090648	2.0422589605591064	-1.1689372106723575	-2.3759810400852315	0.6505019095737918
Risky first	10.0	ips	417	2.6263464864879227	2.00623107298146	3.0824012798209326	1.8156418952707303	0.7436757956792964	2.1760630183995193	-1.4863462636909572	-2.0044883294759277	0.8436805019541369
Risky first	10.0	vertex	410	2.7371656419243924	1.0429361962034973	3.3026255711120935	1.8100818133430823	1.272068604540436	2.2127710999917176	-1.1856335894089183	-2.1968451385497736	-0.49114689502439146
Risky first	14.0	ips	417	2.0096320453679506	1.6735316730400351	2.649359918568253	2.0653561915637466	0.8278303925708573	2.5535405252262073	-1.5305885048617238	-2.019818581722691	0.36056040533753975
Risky first	14.0	vertex	416	2.244488862521009	1.6836263631230077	2.9511570475900015	2.0637184712240346	0.6352418219403979	2.5722764051300273	-1.7108202332427376	-2.262204408826271	0.7639446720239287
Risky first	20.0	ips	417	1.7052292230771606	1.2009034170580695	2.0697425429080565	2.293730138393035	0.6879414278817257	3.031457146024466	-1.3311454491946169	-1.8220216902887274	0.7583580950005229
Risky first	20.0	vertex	416	1.6279439502313582	0.6755845614811593	3.3345314119378138	2.37062333041494	1.9062473556410657	2.831360177470272	-1.3467062615847465	-2.6463383768330178	-0.5831327931514081
Risky first	28.0	ips	420	0.9809434588717587	0.6849088631512246	1.5447105810829356	2.4350441016907594	0.6590931924438973	3.6682615792637696	-0.9400300398599805	-1.4733409924918066	0.34675364641219564
Risky first	28.0	vertex	414	1.6929229237184704	0.657798018634132	3.158642488036939	2.636113524804344	0.7347876494061447	4.218422371141056	-1.116527742957996	-2.8479096882319626	0.7940343247989043
Risky second	7.0	ips	417	2.7057465534394174	0.6838187867631356	3.520527503266156	1.7485181591378716	0.3920689676952116	2.0827275966719103	-1.5810442838865693	-2.1486596434865284	0.6402715082736403
Risky second	7.0	vertex	418	2.6897200128456875	1.0232117105790426	5.058175736535104	1.9704030970861672	0.8789974913214418	2.350731723328303	-1.9722738937201978	-3.572188228318916	0.19875446325647728
Risky second	10.0	ips	413	2.5556887492182336	0.7639847473846627	3.3283649538769144	1.8668231998137594	0.34428406112827364	2.2360840555340973	-1.677218035001365	-2.2146384869532922	0.8146279236117171
Risky second	10.0	vertex	415	2.474655201961978	1.127979879734928	3.8608111443959867	1.8815038947599634	1.2080307790364195	2.2935455437946786	-1.2398122890642171	-2.106634214588725	-0.6188255366658743
Risky second	14.0	ips	418	1.631442053314312	1.0815115064013539	2.285240443757888	1.5700960560069162	0.4580381179796666	1.9926979521716939	-0.7691849170144955	-1.3112234232557332	0.84444728954356
Risky second	14.0	vertex	419	1.808607764015755	0.8737338283793937	2.4047964284030323	1.864552575911453	0.5086805556411234	2.3080215251018092	-1.170556245210491	-1.7029244631877336	0.590587320292187
Risky second	20.0	ips	418	1.3642160844948732	0.857705045110136	2.808938039558564	1.5307581040008418	1.253049349782048	2.089018391186881	-0.6783848995848092	-1.053869037080755	-0.2285707140238294
Risky second	20.0	vertex	420	1.0635892189508476	0.7389560173321975	3.060589474040522	1.803486277405793	1.3571982588534015	2.3830147393412697	-0.6273032200630757	-2.1396634249901707	-0.25786195244857446
Risky second	28.0	ips	420	1.1556984343487113	0.660816996012677	1.5043690814919004	1.6958712212729639	1.1793388120098265	2.3978655138407396	-0.5268155566787119	-1.0439028670551254	-0.21181227753137977
Risky second	28.0	vertex	420	1.0940233387193241	0.7439021096832505	4.001699826101417	1.991388259873802	0.7125354823973071	2.6924300315292284	-0.7645995066758438	-2.915628498764253	0.3707924817251447
