subject	order	stake2	stimulation_condition	slope	rnp	n_trials
1	Risky first	0	ips	3.1409082208606707	0.48053042619195735	32
1	Risky first	0	vertex	1.2375430819664273	0.424154576097676	32
1	Risky first	1	ips	5.5869159900177685	0.45201708619629277	28
1	Risky first	1	vertex	5.854788766135085	0.42132740762591325	28
1	Risky second	0	ips	4.803689631904717	0.5093699090987249	32
1	Risky second	0	vertex	6.04300925976049	0.44883731621858214	31
1	Risky second	1	ips	2.1128283062376845	0.5295625724707047	28
1	Risky second	1	vertex	2.9845222180965054	0.4795796686541239	28
2	Risky first	0	ips	2.6647919770439126	0.43663799702556144	32
2	Risky first	0	vertex	0.675349796195383	0.6650439141332648	28
2	Risky first	1	ips	2.1813707162628337	0.4758852009272715	28
2	Risky first	1	vertex	2.959325998605281	0.48473063381935977	26
2	Risky second	0	vertex	3.61688540989692	0.5475889898164613	31
2	Risky second	1	ips	2.270569013906285	0.498870476819953	28
2	Risky second	1	vertex	1.693836612365303	0.4490557590776351	27
3	Risky first	0	ips	4.761601109866323	0.5989057253225678	30
3	Risky first	0	vertex	5.484999729059892	0.581705510305701	30
3	Risky first	1	ips	5.724868270222106	0.531634322853985	30
3	Risky first	1	vertex	7.1374976959213505	0.5504678091478384	30
3	Risky second	0	ips	5.755970812719072	0.5348795288862473	30
3	Risky second	0	vertex	4.340673776245345	0.477186196808276	30
3	Risky second	1	ips	2.1358849860641613	0.6620166386031962	30
3	Risky second	1	vertex	4.691444500078646	0.5480866619059448	30
4	Risky first	0	ips	2.1570578602006067	0.4182464510451394	32
4	Risky first	0	vertex	2.312991948636341	0.5222854853563306	29
4	Risky first	1	ips	1.902655996598697	0.25040078608573924	28
4	Risky first	1	vertex	1.7806631917855584	0.2481284087818939	26
4	Risky second	0	ips	3.756186610974943	0.4770997528187715	32
4	Risky second	0	vertex	3.2640007582168504	0.46686551205337745	31
4	Risky second	1	ips	1.111268706105543	0.5082481377063196	28
4	Risky second	1	vertex	1.955630742827081	0.5631519109190364	28
5	Risky first	0	ips	2.833201863829207	0.7089102071900113	30
5	Risky first	1	ips	3.6361828438444945	0.4966362636983175	30
5	Risky first	1	vertex	3.0195974515519177	0.4758026673457929	30
5	Risky second	0	ips	1.6828682947789675	0.5533177166055158	30
5	Risky second	0	vertex	2.381472212476579	0.47866022396311536	30
5	Risky second	1	ips	4.897004206572681	0.5332290024599939	30
